PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
18/00850/A,Fields 621477 & 621479 Adj To Magher Drine Ballajora Ramsey Isle Of Man  ,"Approval in principle for the erection of a new dwelling with integral garaging, addressing means of access",Refused,19-Oct-18,Head of Development Management
18/00851/B,Ballarhennie House Orrisdale Kirk Michael Isle Of Man IM6 2HJ ,Alterations and erection of rear extension,Permitted,04-Oct-18,Head of Development Management
18/00852/B,6 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,Reduction in size of an existing window to South East elevation,Permitted,28-Sep-18,Principal Planner - South (SC)
18/00854/B,Mountain View Innovation Centre Jurby Road Ramsey Isle Of Man IM7 2DZ ,Installation of three windows (retrospective),Permitted,20-Sep-18,Principal Planner - South (SC)
18/00855/B,Site At Oatlands Quarry Santon Depot Oatlands Road Santon Isle Of Man  ,Installation of two replacement 100 Tonne dry cement storage silos,Permitted,20-Sep-18,Head of Development Management
18/00857/GB,Milntown Mansion Glen Auldyn Ramsey Isle Of Man IM7 2AB ,"Re-location of entrance gate pillar, widening of gates and re-routing of entrance drive at Lezayre Road junction - RB 168 (in association with Registered Building Application 18/00858/CON)",Permitted,11-Oct-18,Head of Development Management
18/00858/CON,Milntown Mansion Glen Auldyn Ramsey Isle Of Man IM7 2AB ,"Registered Building Consent for the re-location of entrance gate pillar, widening of gates and re-routing of entrance drive at Lezayre Road junction - RB 168 (in association with application 18/00857/GB)",Permitted,11-Oct-18,Head of Development Management
18/00859/B,Pebbles Douglas Street Castletown Isle Of Man IM9 1BD,Installation of french doors and glazed balcony in place of existing window at third floor level,Permitted,27-Sep-18,Head of Development Management
18/00860/B,7 Perwick Road Port St. Mary Isle Of Man IM9 5PA,"Alterations and extension to property, and creation of terrace",Permitted,22-Nov-18,Head of Development Management
18/00861/B,5 Farmhill Lane Douglas Isle Of Man IM2 2EB,Alterations and additions including replacement of conservatory with sun lounge and erection of detached garage,Permitted,12-Oct-18,Head of Development Management
18/00863/B,Silver Creek House 12 Cronk Road Union Mills Isle Of Man IM4 4NJ ,"Alterations to existing first floor balcony and ground level terrace, including installation of decking, new pergola and new external staircase",Permitted,21-Nov-18,Head of Development Management
18/00865/B,The Stable Building The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB ,Erection of projection facility dome and weatherproof enclosure within central courtyard (retrospective),Permitted,15-Oct-18,Planning Committee
18/00866/B,Minorca Chapel Minorca Hill Laxey Isle Of Man IM4 7DP,Installation of timber raised balcony deck,Permitted,12-Oct-18,Head of Development Management
18/00867/B,19 Castle Street Douglas Isle Of Man IM1 2EX,Removal of chimney stack and associated roof works,Permitted,27-Sep-18,Head of Development Management
18/00868/B,32 Cronk Drean Douglas Isle Of Man IM2 6AU,Replacement of two single garage doors and dividing pillar with one double garage door.,Permitted,27-Sep-18,Head of Development Management
18/00871/B,Murtagh House Battery Road Peel Isle Of Man IM5 1UD ,Erection of summerhouse (amendments to application 18/00188/B),Permitted,27-Sep-18,Head of Development Management
18/00872/B,9 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE,Increase in height of existing timber boundary fence,Permitted,24-Sep-18,Head of Development Management
18/00873/B,35A Ard Reayrt Laxey Isle Of Man IM4 7QP ,Removal of false chimney stack on west elevation of property,Refused,27-Sep-18,Head of Development Management
18/00874/B,5 Tromode Green Douglas Isle Of Man IM2 5NT ,Replacement of existing conservatory roof with tiled roof,Permitted,20-Sep-18,Principal Planner- North (CB)
18/00875/B,Cliff View Pinfold Hill Laxey Isle Of Man IM4 7HL,"Alterations to property including replacement windows, removal of pebble dash finish and replacement of flat roofs with pitched roofs to dormer window and sun lounge",Permitted,24-Oct-18,Principal Planner- North (CB)
18/00877/B,Glengarth Port Soderick Glen Port Soderick Isle Of Man IM4 1BE,Replacement single storey conservatory,Permitted,07-Nov-18,Head of Development Management
18/00878/B,Ballakeigh Farm West Kimmeragh Road Bride Isle Of Man IM7 4BA,Erection of an extension to an existing agricultural building and alterations to an existing vehicular access,Refused,24-Oct-18,Head of Development Management
18/00879/B,Unit 11B The Village Walk Onchan Isle Of Man IM3 4EB,Installation of flue from extraction unit,Permitted,23-Oct-18,Head of Development Management
18/00880/A,Apple Garth Patrick Road St Johns Isle Of Man IM4 3BN,Approval in principle for the provision of 3 glamping pods within the garden of property to provide tourist accommodation,Application Withdrawn,22-Oct-18,Withdrawn
18/00881/B,Apartment 24 Millennium Court Queens Promenade Douglas Isle Of Man IM2 4NN ,Replacement of existing balcony double doors and side lights with Veka UPVC units,Permitted,04-Oct-18,Principal Planner- North (CB)
18/00882/B,Cronk Breck Bernahara Road Andreas Isle Of Man IM7 3HH ,Conversion and extension of existing single garage to provide additional living accommodation ancillary to existing property,Permitted,30-Oct-18,Planning Committee
18/00883/B,Field 521615 Land Adj To Leece Lodge Strang Douglas Isle Of Man  ,Erection of storage shed for agricultural equipment,Permitted,19-Nov-18,Head of Development Management
18/00884/C,Mill House Old Castletown Road Santon Isle Of Man IM4 1EX,Additional use of ancillary accommodation as tourist accommodation,Permitted,10-Oct-18,Head of Development Management
18/00885/B,Sunset Lakes Ballagyr Lane Peel Isle Of Man   ,"Variation of condition 10 of PA 12/01140/B, Erection of a fishing complex with lakes, cafe, four holiday cottages, educational facility and landscaping, to change the hours of operation for cafe from 05.00hrs to 21.00hrs to 07.00hrs to 23.00hrs",Permitted,04-Oct-18,Principal Planner- North (CB)
18/00886/B,Rose Hill Farm Richmond Hill Douglas Isle Of Man IM4 1JG ,Erection of first floor extensions to provide additional living accommodation,Permitted,07-Nov-18,Head of Development Management
18/00887/B,6 Ramsey Road Peel Isle Of Man IM5 1UB,Removal of redundant chimney stack,Permitted,10-Oct-18,Head of Development Management
18/00888/B,Santa Rosa Summerhill Douglas Isle Of Man IM2 4PG,Creation of new ground floor window and alterations to existing window openings,Permitted,03-Oct-18,Principal Planner - South (SC)
18/00889/B,Street Market Hill Douglas Isle Of Man  ,Street paving and associated regeneration works,Permitted,24-Dec-18,Principal Planner - South (SC)
18/00890/B,Marina Hotel 47 Loch Promenade Douglas Isle Of Man IM1 2LZ,"Demolition of derelict hotel/guesthouse, construction of new infill building containing basement offices and 9 residential apartments (in association with registered building application 18/00891/CON)",Refused,03-Dec-18,Planning Committee
18/00891/CON,Marina Hotel 47 Loch Promenade Douglas Isle Of Man IM1 2LZ,"Registered Building consent for the demolition of derelict hotel/guesthouse, construction of new infill building containing basement offices and 9 residential apartments (in association with application 18/00890/B)",Refused,03-Dec-18,Planning Committee
18/00892/B,5 Tynwald Road Peel Isle Of Man IM5 1JZ,Replacement windows to front elevation of dwelling,Permitted,14-Nov-18,Head of Development Management
18/00893/B,1 Ballaterson Road Peel Isle Of Man IM5 1BJ,Installation of an oil tank,Permitted,19-Oct-18,Head of Development Management
18/00895/B,18 Somerset Road Douglas Isle Of Man IM2 5AD,Alterations and refurbishment of existing garages including installation of a double garage door and altering existing flat roof to pitched roof,Permitted,03-Oct-18,Principal Planner - South (SC)
18/00896/B,Bank Station Road Ballasalla Isle Of Man IM9 2DD,"Alterations in connection with a change of use from bank to restaurant (class 3) and takeaway, including installation of flue from new extraction system.",Refused,26-Oct-18,Head of Development Management
18/00897/C,Tower Buildings Strand Road Port Erin Isle Of Man IM9 6HE,Change of use of property from cafe and apartment to full residential use,Permitted,14-Nov-18,Head of Development Management
18/00898/B,114 Magherbreekyn Port Erin Isle Of Man IM9 6DE,Replacement of existing conservatory roof with tiled roof with a hipped pitch form,Permitted,25-Oct-18,Principal Planner - South (SC)
18/00900/B,1 Close Corneil Port Erin Isle Of Man IM9 6BN,Widening of existing vehicular access,Permitted,25-Oct-18,Principal Planner - South (SC)
18/00902/B,Barrowcroft Shore Road Castletown Isle Of Man IM9 1BF,Alterations to property including replacement of roof tiles with marley concrete tiles and rendering of west gable,Permitted,12-Oct-18,Head of Development Management
18/00903/B,Brook Cottage Castletown Road Port St. Mary Isle Of Man IM9 5LT,Construction of porch to front of property,Permitted,25-Oct-18,Principal Planner - South (SC)
18/00904/B,Old Marown School Old Church Road Crosby Isle Of Man IM4 2HA ,Erection of log cabin on former tarmac playground for storage and making up beekeeping equipment,Permitted,04-Oct-18,Head of Development Management
18/00905/C,The Old Post Office Main Road Kirk Michael Isle Of Man IM6 1AH ,Change of use from estate agents to hair and beauty salon,Permitted,19-Oct-18,Head of Development Management
18/00906/B,18 Erin Lane Port Erin Isle Of Man IM9 6FE ,Erection of wood cabin to side of property for use as storage and hobbies room,Permitted,26-Oct-18,Principal Planner - South (SC)
18/00908/B,Lough View Andreas Road Andreas Isle Of Man IM7 4EN,"Alterations, amendment to existing access and extension of residential curtilage",Permitted,05-Nov-18,Planning Committee
18/00909/C,6 Kingswood Grove Douglas Isle Of Man IM1 3LX,Change of use from commercial unused offices to a residential property,Permitted,03-Oct-18,Principal Planner - South (SC)
18/00910/B,2 Cronk Y Berry Drive Douglas Isle Of Man IM2 6HB,Alterations and erection of an extension,Permitted,18-Oct-18,Director 2017+
18/00911/B,East Lhergydhoo Dairy Farm Farmhouse Lhergydhoo Peel Isle Of Man IM5 2AE ,"Alterations, removal of a chimney and erection of an extension",Permitted,04-Oct-18,Head of Development Management
18/00915/B,Silverdene Station Road Ballasalla Isle Of Man IM9 2DQ,Replacement of existing conservatory roof with tiled roof,Permitted,19-Oct-18,Head of Development Management
18/00916/B,Glebe Bungalow Glebe Farm Stables St Marks Ballasalla Isle Of Man IM9 3AH ,"Variation of condition 3 of PA 03/00234/B, Conversion of outbuilding to dwelling, concerning equestrian owner occupancy",Permitted,30-Oct-18,Planning Committee
18/00917/B,10 Ballanawin Strang Douglas Isle Of Man IM4 4NR,Erection of a front porch to replace existing canopy,Permitted,18-Dec-18,Head of Development Management
18/00918/B,Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP,Installation of glazing to enclose existing covered area at rear of property and glass to replace polycarbonate roof,Permitted,18-Oct-18,Planning Committee
18/00919/B,4 Grenea Cottages Land Opposite Shore Road Kentraugh Port St. Mary Isle Of Man IM9 5NB,Erection of a timber garden building and a greenhouse,Permitted,13-Nov-18,Planning Committee
18/00920/B,Quarterbridge House Quarterbridge Road Douglas Isle Of Man IM2 3RL,Extension and alterations to property,Permitted,03-Oct-18,Principal Planner - South (SC)
18/00921/B,3 Bridge Street Peel Isle Of Man IM5 1NB,Installation of a replacement front door,Permitted,19-Nov-18,Head of Development Management
18/00922/B,2 St Marys Glebe Port St. Mary Isle Of Man IM9 5PF,"Alterations, erection of extension and expansion of driveway and access",Permitted,30-Oct-18,Principal Planner- North (CB)
18/00923/B,North Point Formerly Harmony View Upper Ballastrooan Colby Isle Of Man IM9 4NR ,"Replacement of existing utility room and porch with single storey extension to create new kitchen, utility and living area",Permitted,14-Nov-18,Head of Development Management
18/00924/B,Ballarhenny Farm Orrisdale Kirk Michael Isle Of Man IM6 2HJ ,"Alterations and extension to farmhouse including removal of store and rear porch and erection of extension, replacement windows, re-roofing, and installation of two flues",Permitted,30-Oct-18,Planning Committee
18/00925/B,White Cottage Main Road Ballabeg Castletown Isle Of Man IM9 4HA,"Erection of fencing, summer house and a replacement garage",Permitted,30-Oct-18,Principal Planner- North (CB)
18/00926/B,35 Droghadfayle Road Port Erin Isle Of Man IM9 6EN,"Replacement of existing conservatory with single storey extension to rear of property, and installation of window to side of property as part of garage conversion to living accommodation",Permitted,19-Oct-18,Head of Development Management
18/00927/B,28 The Laurels Douglas Isle Of Man IM2 7DN,"Alterations, erection of an extension and replacement of glazed conservatory roof with tiles",Permitted,10-Oct-18,Head of Development Management
18/00928/B,19 Highfield Crescent Onchan Isle Of Man IM3 3BX,"Alterations, erection of extension and raised decking",Permitted,10-Oct-18,Head of Development Management
18/00929/B,6 Regent Street Douglas Isle Of Man IM1 2EA ,"Alterations to facilitate a change of use from class 1/offices to class 3 food and drink, and takeaway",Permitted,30-Oct-18,Principal Planner - South (SC)
18/00930/B,Field 434971 Billown Quarry Fields Foxdale Road Ballasalla Isle Of Man  ,Erection of an agricultural building,Permitted,27-Nov-18,Head of Development Management
18/00931/B,7 Brookfield Terrace Foxdale Isle Of Man IM4 3ED,Erection of outbuilding to rear of property for boiler/water cylinder and storage,Permitted,11-Oct-18,Head of Development Management
18/00933/B,Sea Cottage 3 Lime Street Port St. Mary Isle Of Man IM9 5ED,Erection of conservatory to rear of property,Permitted,14-Nov-18,Principal Planner - South (SC)
18/00934/B,Hotel/leisure Complex & Golf Club Comis At Mount Murray Mount Murray Road Mount Murray Douglas Isle Of Man IM4 2HT,Erection of flagpoles to West elevation of Hotel and South elevation of Golf Club,Permitted,01-Nov-18,Principal Planner - South (SC)
18/00936/B,1 Oak Road Ballawattleworth Peel Isle Of Man IM5 1WD ,Erection of a first floor extension over existing garage to provide additional living accommodation,Permitted,19-Oct-18,Principal Planner - South (SC)
18/00937/B,7 Christian Street Peel Isle Of Man IM5 1NW,Installation of replacement rear door and patio doors,Permitted,19-Oct-18,Head of Development Management
18/00938/B,71 Friary Park Ballabeg Castletown Isle Of Man IM9 4EP,Removal of chimney stack,Permitted,02-Nov-18,Principal Planner- North (CB)
18/00939/B,Green Hills Pinfold Hill Laxey Isle Of Man IM4 7HJ,Alterations and erection of a two storey extension to dwelling (amendments to PA 16/00897/B),Permitted,06-Dec-18,Head of Development Management
18/00941/B,Savoy 6 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,Replacement of existing basement window with a door,Permitted,19-Oct-18,Director 2017+
18/00943/B,21 Kensington Road Douglas Isle Of Man IM1 3EP,Replacement of slate roof and roof lights,Permitted,15-Oct-18,Director 2017+
18/00944/B,Reina Malvern Road Douglas Isle Of Man IM2 5AP,Erection of extension to rear of property,Permitted,19-Oct-18,Director 2017+
18/00945/B,Replacement Dwelling Part Of Field 430242 Corlea Farm Corlea Road Ballasalla Isle Of Man  ,"Erection of stables/tack room/storage building on land adjacent to dwelling, including adjustments to access driveway",Permitted,19-Oct-18,Director 2017+
18/00946/B,Broomfield Cottage Qualtroughs Lane Ballafesson Port Erin Isle Of Man IM9 6TP,"Installation of first floor window in south facing wall, and cladding of existing rear extension with timber boarding",Permitted,10-Oct-18,Head of Development Management
18/00947/C,1st Floor 13 Victoria Street Douglas Isle Of Man IM1 2LR ,Change of use of existing office space to retail (class 1),Permitted,13-Nov-18,Planning Committee
18/00948/B,Sound Of The Falls 5 Hamilton Terrace Lower Foxdale Isle Of Man IM4 3BB ,Creation of new vehicular access to provide off street parking area within front garden of property,Refused,27-Nov-18,Head of Development Management
18/00949/B,88 Summerhill Road Onchan Isle Of Man IM3 1NH,Alterations and extension to the rear of dwelling,Permitted,10-Oct-18,Head of Development Management
18/00950/B,Tan Coirrey Hey Brookfield Crescent Ramsey Isle Of Man IM8 2AQ ,Removal of three chimney stacks and replacement roof tiles,Permitted,19-Oct-18,Head of Development Management
18/00951/B,Canny Hill House Main Road Baldrine Isle Of Man IM4 6ER ,"Construction of a first floor extension, alterations, conversion of a garage and removal of chimney",Permitted,30-Oct-18,Principal Planner - South (SC)
18/00954/B,63A Friary Park Road Ballabeg Castletown Isle Of Man IM9 4EP,Erection of extension to rear of property,Permitted,09-Nov-18,Principal Planner- North (CB)
18/00955/B,Shenvalley House Ballnahowe Port Erin Isle Of Man IM9 6JF ,"Variation of condition 1 of PA 14/01094/B for the demolition of existing building and erection of a detached dwelling and garage, to extend the period of permission for a further 4 years",Permitted,16-Nov-18,Planning Committee
18/00956/B,Sea Wall Harris Promenade Douglas Isle Of Man  ,Construction of 507m long reinforced concrete wall 1.2m in height anchored to the existing sea wall to reduce wave overtopping,Refused,14-Dec-18,Planning Committee
18/00957/B,Former Princes Motors Ltd Repair Shop Glen Road Laxey Isle Of Man IM4 7AR,Demolition of former repair shop and site clearance (in association with registered building application 18/00958/CON),Application Withdrawn,18-Oct-18,Withdrawn
18/00959/B,Plot 41 Clagh Vane Estate Clagh Vane Ballasalla Isle Of Man  ,Erection of a dwelling with additional ground floor living accommodation (amendment to that approved under PA 15/01148/B),Permitted,19-Oct-18,Head of Development Management
18/00960/B,Plot 8 Clagh Vane Estate Clagh Vane Ballasalla Isle Of Man  ,Erection of a dwelling with additional ground floor living accommodation (amendment to that approved under PA 15/01148/B),Permitted,19-Oct-18,Head of Development Management
18/00961/B,Ballacrye Farm House Ballacriy Lane Colby Isle Of Man IM9 4NE,Erection of stables,Permitted,19-Nov-18,Principal Planner- North (CB)
18/00962/B,16 Derby Road Douglas Isle Of Man IM2 3ET,"Alterations, installation of replacement windows and creation of rear garage with roof terrace above",Permitted,23-Oct-18,Head of Development Management
18/00963/B,26 Queens Valley Ramsey Isle Of Man IM8 1NG ,"Alterations, erection of extension and installation of a flue",Permitted,19-Oct-18,Head of Development Management
18/00964/B,12 Glen Maye Park Glen Maye Isle Of Man IM5 3AX ,Erection of a front porch and installation of cladding,Permitted,12-Dec-18,Head of Development Management
18/00965/B,25 Hutchinson Square Douglas Isle Of Man IM2 4HP,Installation of replacement windows and front door,Permitted,19-Oct-18,Head of Development Management
18/00966/B,15 Reayrt Ny Glionney Drive Laxey Isle Of Man IM4 7LG ,Widening of vehicular access and driveway,Permitted,19-Oct-18,Head of Development Management
18/00967/B,8 Queens Terrace Douglas Isle Of Man IM1 4BZ,Erection of single storey extension to rear of property and the installation of patio doors to rear elevation,Permitted,19-Oct-18,Head of Development Management
18/00968/B,25 Farmhill Lane Douglas Isle Of Man IM2 2EF,Installation of a flue,Permitted,19-Oct-18,Head of Development Management
18/00969/B,11 Orchid Close Douglas Isle Of Man IM2 7EN,Installation of a flue,Permitted,19-Oct-18,Head of Development Management
18/00971/B,Avenholme Dandy Hill Port Erin Isle Of Man IM9 6HN,Replacement of existing timber units in Lounge bay window with double glazed UPVC units,Permitted,30-Oct-18,Head of Development Management
18/00972/B,23 Copse Hill Douglas Isle Of Man IM2 1NE,Replacement of existing polycarbonate conservatory roof with fibre glass roof,Permitted,19-Oct-18,Head of Development Management
18/00973/B,3 Raphael Road Douglas Isle Of Man IM1 3EQ,"Alterations, erection of rear extensions and installation of replacement windows",Permitted,31-Oct-18,Head of Development Management
18/00974/B,10 Victoria Avenue Onchan Isle Of Man IM3 1BD,Replacement of existing garage with new garage and attic playroom,Refused,30-Oct-18,Principal Planner - South (SC)
18/00975/B,30 Cronk Drean Douglas Isle Of Man IM2 6AU,Alterations to existing conservatory including installation of concrete tiled roof,Permitted,19-Oct-18,Head of Development Management
18/00976/B,Bradda Brae Bradda Road Port Erin Isle Of Man IM9 6QB ,Erection of an extension to existing detached garage,Permitted,04-Dec-18,Head of Development Management
18/00981/B,19 Ashbourne Avenue Douglas Isle Of Man IM2 1NW,Installation of flue from multi fuel stove,Permitted,19-Oct-18,Head of Development Management
18/00985/B,10 Ballanawin Strang Douglas Isle Of Man IM4 4NR,Erection of a rear conservatory and raised deck,Refused,30-Oct-18,Head of Development Management
18/00989/B,23 Bayr Grianagh Castletown Isle Of Man IM9 1HL,Alterations and erection of a first floor extension,Permitted,07-Nov-18,Head of Development Management
18/00990/B,9 Pickard Close Castletown Isle Of Man IM9 1BB,Replacement of a garage door with a window,Permitted,12-Dec-18,Principal Planner - South (SC)
18/00991/B,Ballachrink  Sound Road Glen Maye Isle Of Man IM5 3BJ,Conversion of a garage to provide tourist living accommodation,Permitted,16-Nov-18,Principal Planner - South (SC)
18/00992/D,17 Orchard Street Port Erin Isle Of Man IM9 6AJ,Installation of both illuminated and non illuminated signage,Permitted,12-Dec-18,Principal Planner - South (SC)
18/00993/C,Glebe Farm Main Road Kirk Michael Isle Of Man IM6 2HD,Creation of a campsite for the weeks covering TT and MGP with existing toilet and shower facility,Permitted,05-Nov-18,Planning Committee
18/00994/B,South Quay Industrial Estate Amenity Area Former Gas Production And Storage Site South Quay Douglas Isle Of Man  ,Installation of a structure (Class 3) to provide food and drink with associated seating area and decking,Permitted,30-Oct-18,Planning Committee
18/00995/REM,Ballabeg Main Road Glen Vine Isle Of Man IM4 4BA ,"Reserved matters application relating to PA 16/01316/A for the erection of seven detached dwellings with integral garages with associated roads and services, addressing siting, internal layout, design, external appearance and landscaping",Permitted,30-Oct-18,Head of Development Management
18/00998/B,"The Bridge, 8 - 9 North Quay & Vinos, 1 Quines Corner Douglas Isle Of Man ",Conversion of retail unit (Class 1) and Wine Bar (Class 3) to form part of existing Public House (Class 3),Permitted,21-Dec-18,Principal Planner - South (SC)
18/00999/B,Rhen Wee Cottage Regaby West Road Andreas Isle Of Man IM7 3HL,"Alterations, erection of a link extension, conversion of existing out building to provide additional living accommodation and installation of a flue",Permitted,30-Oct-18,Planning Committee
18/01001/B,Anchorage Braaid Road St Marks Ballasalla Isle Of Man IM9 3AS ,"Alterations, erection of porch and sun lounge, raised decking and installation of replacement roof tiles",Permitted,21-Nov-18,Principal Planner - Enf (AM)
18/01002/B,Pitcairn & Wyndham Church Road Marina Douglas Isle Of Man IM1 2HQ ,Installation of replacement windows to front and rear elevations,Permitted,30-Oct-18,Principal Planner - South (SC)
18/01003/B,15 Factory Lane Peel Isle Of Man IM5 1NA,Installation of a rear dormer,Permitted,24-Oct-18,Head of Development Management
18/01004/B,26 Market Street Peel Isle Of Man IM5 1AE,"Installation of replacement windows, front door and replacement rear conservatory (retrospective)",Permitted,30-Oct-18,Head of Development Management
18/01005/B,Sound Of The Falls 5 Hamilton Terrace Lower Foxdale Isle Of Man IM4 3BB ,Erection of a rear extension,Permitted,22-Nov-18,Principal Planner - South (SC)
18/01006/B,25 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ,Alterations and erection of an extension to front elevation,Permitted,06-Dec-18,Principal Planner- North (CB)
18/01007/B,Ballagilley Farm House Gooseneck Road Hibernia Ramsey Isle Of Man IM7 1EP ,Erection of a two storey extension to side elevation,Permitted,30-Oct-18,Head of Development Management
18/01008/GB,The Co Op Food Store The Parade Castletown Isle Of Man IM9 1LG ,Redirection of existing soil vent pipe from rear of building to front of building (in association with 18/01009/CON),Permitted,04-Dec-18,Head of Development Management
18/01009/CON,The Co Op Food Store The Parade Castletown Isle Of Man IM9 1LG ,Registered Building consent for the redirection of existing soil vent pipe from rear of building to front of building (in association with 18/01008/GB) Registered Building Nos 32,Permitted,04-Dec-18,Head of Development Management
18/01010/B,Phoenix Bungalow Slieau Lewaigue Lewaigue Ramsey Isle Of Man IM7 1BH,Erection of an extension to rear elevation,Permitted,31-Oct-18,Head of Development Management
18/01011/B,Barcroft Leodest Road Andreas Isle Of Man IM7 4HA,Blocking up of existing first floor window,Permitted,31-Oct-18,Head of Development Management
18/01012/B,Unit 11 New Units Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AX ,Installation of new window opening in front elevation,Permitted,31-Oct-18,Head of Development Management
18/01015/B,Seven Acres Glen Tramman Ramsey Isle Of Man IM7 2AP ,Alterations and extensions to property,Permitted,31-Oct-18,Head of Development Management
18/01016/B,58 Waterloo Road Ramsey Isle Of Man IM8 1EG,Demolition and re-building of rear of property,Permitted,02-Nov-18,Head of Development Management
18/01017/B,Tromode 27 Ballanard Road Douglas Isle Of Man IM2 5HA,Alterations and extension to rear of property,Permitted,31-Oct-18,Principal Planner- North (CB)
18/01018/GB,Land Adjacent To  Mill Cottage Milntown Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Replacement of existing garage and storage buildings with timber workshop and garage (in association with 18/01019/CON),Permitted,07-Nov-18,Head of Development Management
18/01019/CON,Land Adjacent To  Mill Cottage Milntown Glen Auldyn Ramsey Isle Of Man IM7 2AB ,Registered Building consent for the replacement of existing garage and storage buildings with timber workshop and garage (in association with 18/01018/GB) Registered Building Nos. 168,Permitted,07-Nov-18,Head of Development Management
18/01021/B,16 Clifton Drive Ramsey Isle Of Man IM8 3ND,Erection of garage extension and creation of new vehicular on to Clifton Drive,Permitted,07-Nov-18,Head of Development Management
18/01023/B,Union Mills Sewage Treatment Works Snugborough Trading Estate Union Mills Isle Of Man  ,Remediation works to site including demolition of various structures and infilling of excavations back to original ground level,Permitted,24-Dec-18,Head of Development Management
18/01024/B,159 Fairways Approach Mount Murray Douglas Isle Of Man IM4 2JH ,Alterations including enlargement of a window and formation of three patio doors,Permitted,31-Oct-18,Principal Planner- North (CB)
18/01025/B,Highcrest 16 Perwick Road Port St. Mary Isle Of Man IM9 5PB,"Alterations to property including stone facing of new entrance elevation, installation of canopy above new front door and movement of various existing openings",Permitted,07-Nov-18,Head of Development Management
18/01026/B,Orrys Cliff Ballaragh Road Laxey Isle Of Man IM4 7PE,Extension and alterations to property,Permitted,31-Oct-18,Principal Planner- North (CB)
18/01028/B,4 Links Close Peel Isle Of Man IM5 1DG,"Alterations, erection of extension to front elevation and installation of a flue",Permitted,31-Oct-18,Principal Planner- North (CB)
18/01029/B,Hawthorn Villas 110 Woodbourne Road Douglas Isle Of Man IM2 3AS ,"Installation of replacement windows, doors and roof slates",Permitted,31-Oct-18,Principal Planner- North (CB)
18/01030/B,Maple Ridge 4 Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ ,Alterations to property including creation of timber deck terrace,Permitted,19-Nov-18,Head of Development Management
18/01031/B,"47, 49, 51, 53, 55, 57, 59 Queens Pier Road Ramsey Isle Of Man IM8 2HP","Installation of insulated render cladding system to external walls, replacement roof tiles and works to existing retaining walls",Permitted,07-Nov-18,Head of Development Management
18/01032/B,Cornaa Beaumont Road Ramsey Isle Of Man IM8 2HW,Extension of vehicular access and driveway,Permitted,07-Nov-18,Head of Development Management
18/01033/B,50 King Orry Road Glen Vine Isle Of Man IM4 4FJ,Installation of black flue from multi fuel fire on south east gable of property,Permitted,18-Dec-18,Head of Development Management
18/01035/B,31 Derwent Drive Onchan Isle Of Man IM3 2DB,Extension of existing vehicular access and driveway,Permitted,19-Nov-18,Head of Development Management
18/01037/B,Ballig Farm Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG,Extension and alteration to dwelling to provide additional living accommodation,Application Withdrawn,16-Nov-18,Withdrawn
18/01038/B,Peel Lifeboat Station West Quay Peel Isle Of Man IM5 1TG ,"Extension to the northern elevation of lifeboat house, and alterations to the launching ramp and sea wall",Permitted,11-Dec-18,Planning Committee
18/01039/C,Shee Dy Vea Darragh Port Erin Isle Of Man IM9 6JB ,Additional use of residential property as self-catering tourist accommodation,Permitted,29-Nov-18,Head of Development Management
18/01040/LAW,58-60 Main Road Onchan Isle Of Man IM3 1AL,Certificate of Lawful Use for the use of first floor apartment as a residential dwelling,Permitted,27-Nov-18,Head of Development Management
18/01042/B,1 Osborne Terrace Douglas Isle Of Man IM1 3LH,Alterations and remodelling of property,Permitted,20-Nov-18,Principal Planner - South (SC)
18/01043/B,Ballakeilla 15 Ard Reayrt Laxey Isle Of Man IM4 7PZ ,Installation of flue from multi-fuel fire (retrospective),Permitted,20-Nov-18,Principal Planner - South (SC)
18/01045/B,23 Devonshire Crescent Douglas Isle Of Man IM2 3RD,"Alterations, removal of a chimney stack and erection of a first floor extension",Permitted,20-Nov-18,Principal Planner - South (SC)
18/01053/LAW,5 Rosemount Douglas Isle Of Man IM1 3HQ,Application to make lawful the use of the property as a house in multiple occupancy (HMO),Certificate of Lawfulness AGREED,22-Nov-18,Principal Planner - Enf (AM)
18/01054/B,8 Ballachrink Drive Onchan Isle Of Man IM3 4NX,Replacement of existing conservatory roof with tiled roof,Permitted,07-Nov-18,Head of Development Management
18/01055/B,Greenmount 15 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QN,"Alterations, replace garage door with a window, reduction of existing porch and creation of patio area, removal of a chimney stack, erection of a dormer extension and erection of a detached garage",Permitted,21-Nov-18,Head of Development Management
18/01056/B,Air Cadet Training Facility Millbrook House Tromode Road Douglas Isle Of Man IM2 5EH ,Single storey extension to provide additional classroom and associated accommodation,Permitted,20-Nov-18,Principal Planner- North (CB)
