PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
15/00896/B,Field 121550 Guilcagh Farm  St Judes Road Andreas Isle Of Man  ,Erection of an indoor riding arena building,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00897/B,Flat 1  Walpole Apartments Marine Parade Peel Isle Of Man IM5 1PB,Removal of existing front elevation window and installation of French doors with glazed fanlight above,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00898/LAW,Yn Shenn Oik Postagh Old Laxey Hill Laxey Isle Of Man IM4 7DA,Application to make lawful the installation of replacement windows,30-Sep-15,Senior Planning Officer - North (CB),Certificate of Lawfulness AGREED
15/00899/B,1 River Walk Braddan Douglas Isle Of Man IM4 4TJ,Erection of extension to rear elevation,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00900/B,Cains Croft Smeale Road Andreas Isle Of Man IM7 4JA,"Alterations, erection of extension to dwelling and erection of a detached garage",09-Oct-15,Senior Planning Officer - South (SC),Permitted
15/00901/B,Caardee Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE,Creation of an additional window to dwelling,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00902/B,Ashdowne House Ballavale Road Santon Isle Of Man IM4 1EH,Erection of a dwelling (comprising amendments to dwelling approved under PA 12/00355/B),22-Sep-15,Planning Committee,Permitted
15/00903/B,Land Opposite Ballachree Cottage Churchtown Ramsey Isle Of Man  ,Erection of a dwelling with detached garage and extension to residential curtilage,21-Sep-15,Director Delegation,Permitted
15/00904/B,Skyhill Riverbank Road Ramsey Isle Of Man IM8 3PP,Erection of garage extension to front elevation and installation of patio doors to rear elevation,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00905/B,Ballavarkish Beg Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD ,Alterations and erection of extension to dwelling,17-Sep-15,Director Delegation,Permitted
15/00906/B,Folly Cottage Westfield Drive Ramsey Isle Of Man IM8 3ER,Erection of extension to side elevation,21-Sep-15,Senior Planning Officer - North (CB),Permitted
15/00908/B,21 Primrose Avenue Douglas Isle Of Man IM1 4EA,Removal of a chimney stack,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00909/B,Kilravock Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY,Demolition of existing dwelling and erection of a replacement dwelling with associated parking,06-Oct-15,Planning Committee,Refused
15/00910/B,Mylchreests Garage And Showroom Millmount Douglas Isle Of Man IM2 1HE ,Installation of replacement external cladding,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00911/B,Rainbows End Beaumont Road Ramsey Isle Of Man IM8 2HN ,Erection of a timber garden shed,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00912/GB,Close Lake Jurby Road Andreas Isle Of Man IM7 2EJ ,Creation of a rear link canopy to dwelling (in association with 15/00913/CON),09-Oct-15,Head of Development Management,Permitted
15/00913/CON,Close Lake Jurby Road Andreas Isle Of Man IM7 2EJ ,Registered Building consent for the creation of a rear link canopy to dwelling (in association with 15/00912/GB) Registered Building Nos. 189,09-Oct-15,Head of Development Management,Permitted
15/00914/B,Glass Cottage Main Road Greeba Isle Of Man IM4 2DU,Widening of vehicular access,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00915/B,1 Murrays Lake Grove Mount Murray Douglas Isle Of Man IM4 2GY ,Erection of extensions to dwelling,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00916/B,Shelton Alexander Drive Douglas Isle Of Man IM2 3QN ,Installation of patio doors and enlargement of landing window to rear elevation,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00917/B,64 Ballanawin Strang Douglas Isle Of Man IM4 4NU,Replacement of existing glazed conservatory roof with tiles,16-Sep-15,Director Delegation,Permitted
15/00918/B,Ballacamaish Farm Kiondroghad Road Andreas Isle Of Man IM7 3EJ,Replacement of existing glazed conservatory roof with roof tile,21-Sep-15,Senior Planning Officer - North (CB),Permitted
15/00919/B,19 Castle Street Peel Isle Of Man IM5 1AN,Replacement of existing glazed conservatory roof with roof tile,21-Sep-15,Senior Planning Officer - North (CB),Permitted
15/00920/B,Fairwinds 6 Ballagarey Close Glen Vine Isle Of Man IM4 4EG,Installation of additional window to west elevation,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00921/B,1 Royal Park Ramsey Isle Of Man IM8 3UF ,Alterations and erection of a two storey extension to provide living and tourist living accommodation to dwelling,06-Oct-15,Head of Development Management,Permitted
15/00922/C,Part Of Former Park Road School Playground Park Road Douglas Isle Of Man IM2 3EH ,Change of use of site to provide a temporary building materials storage area,25-Sep-15,Planning Committee,Permitted
15/00923/B,Ash Lodge Patrick Road St Johns Isle Of Man IM4 3BR,"Erection of an outbuilding to provide garage, storage facilities and hobby room to replace existing garage/store",21-Oct-15,Planning Committee,Permitted
15/00924/B,Ingleton House Shore Road Castletown Isle Of Man IM9 1BF,"Alterations, demolition of existing detached garage and erection of extension to dwelling",18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00925/B,7 Baldrine Park Baldrine Isle Of Man IM4 6DE,Replacement of existing glazed conservatory roof with roof tiles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00926/B,96 Summerhill Road Onchan Isle Of Man IM3 1NH,Erection of kitchen extension,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00927/B,94 Pine Grove Ballasalla Isle Of Man IM9 2EA,Creation of additional vehicular access and erection of utility room extension,04-Dec-15,Director Delegation,Permitted
15/00928/B,45 Erin Way Port Erin Isle Of Man IM9 6EF ,Erection of a two storey extension to dwelling and widening of driveway and vehicular access,22-Oct-15,Head of Development Management,Permitted
15/00929/B,East Bretney Farm Polly Road Jurby Isle Of Man IM7 3ES ,Erection of detached stables together with associated sand school arena and new field gate access,07-Oct-15,Planning Committee,Permitted
15/00930/B,15 St Catherines Drive Douglas Isle Of Man IM1 4BH,Erection of a rear utility room extension,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00931/GB,Derby House 7 Castle Street Castletown Isle Of Man IM9 1LA,Installation of replacement windows (in association with 15/00932/CON),09-Oct-15,Head of Development Management,Permitted
15/00932/CON,Derby House 7 Castle Street Castletown Isle Of Man IM9 1LA,Registered Building consent for the installation of replacement windows (in association with 15/00931/GB) Registered Building Nos. 28,09-Oct-15,Head of Development Management,Permitted
15/00933/B,26 Cronk Cullyn Colby Isle Of Man IM9 4NQ ,Erection of a replacement conservatory,16-Sep-15,Director Delegation,Permitted
15/00935/D,Vauxhall Eurocars Peel Road Douglas Isle Of Man IM1 5ED ,Erection of illuminated advertising signage,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00936/B,3 Glen Maye Park Glen Maye Isle Of Man IM5 3AX ,Installation of external flue to side elevation,07-Sep-15,Withdrawn,Application Withdrawn
15/00937/B,Flat 1   24 Demesne Road Douglas Isle Of Man IM1 3DY,Installation of replacement ground floor bay windows,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00938/B,23 Copse Hill Douglas Isle Of Man IM2 1NE,Erection of an extension to dwelling,17-Sep-15,Director Delegation,Permitted
15/00939/B,Renscault House East Baldwin Isle Of Man IM4 5EP ,Alterations and erection of a first floor extension to dwelling,09-Oct-15,Head of Development Management,Permitted
15/00940/LAW,Field 130579 & 134146 Magher Grianagh St Judes Road Sulby Isle Of Man  ,Application to make lawful the erection of various sheds and structures to house poultry and run a free range egg business,12-Nov-15,Director Delegation,Certificate of Lawfulness AGREED
15/00941/B,32 Majestic Drive Onchan Isle Of Man IM3 2JJ,"Replacement of roof structure over pool house, alterations to windows and doors and amendment to balustrades approved under PA 14/01118/B",18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00942/B,Bay House Bay View Road Port St. Mary Isle Of Man IM9 5AQ,Roof replacement and rendering of dwarf walls to existing conservatory,18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00944/B,16 Ballafurt Close Port Erin Isle Of Man IM9 6HS,Installation of a replacement window and creation of two additional windows to dwelling,17-Sep-15,Director Delegation,Permitted
15/00945/B,25 Baldrine Park Baldrine Isle Of Man IM4 6DB,Door and window alterations to side and rear elevations,06-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00946/B,Hillberry House Hillberry Green Douglas Isle Of Man IM2 6DE,"Alterations, erection of a garage extension and creation of a canopy and porch to dwelling",18-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00947/B,"Units 4, 5 & 6 Bank Hill Douglas Isle Of Man IM1 4LJ ",Alterations to form a coffee shop ( Class 1) and or restaurant (Class 3) with outside seating area,22-Oct-15,Director Delegation,Permitted
15/00948/B,The Gate Lodge Old Castletown Road Douglas Isle Of Man IM2 1QB,Alterations and extension to dwelling,19-Nov-15,Planning Committee,Permitted
15/00949/B,15 Devonshire Crescent Douglas Isle Of Man IM2 3RD,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,18-Sep-15,Director Delegation,Permitted
15/00950/B,35 Slieau Whallian Park St Johns Isle Of Man IM4 3JJ,Installation of a replacement conservatory roof with light weight roof tiles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00951/B,3 Turnberry Avenue Onchan Isle Of Man IM3 2JS ,Replacement of existing glazed conservatory roof with roof tiles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00952/B,Killey Begs Main Road Crosby Isle Of Man IM4 4BH ,Replacement of existing conservatory glazed roof with roof tile,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00953/B,6 Glebe Aalin Ballaugh Isle Of Man IM7 5BW,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00954/B,67 Farmhill Meadows Douglas Isle Of Man IM2 2LW,Erection of a two storey side extension and single storey extensions to front and rear elevations and widening of driveway and vehicular access,18-Sep-15,Director Delegation,Permitted
15/00955/B,6 Ashbourne Avenue Douglas Isle Of Man IM2 1NW,Erection of an extension to side elevation of dwelling,18-Sep-15,Director Delegation,Permitted
15/00956/A,Part Of Field 434311 Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,Approval in principle for erection of a dwelling on site of former tholtan,22-Sep-15,Planning Committee,Refused
15/00957/C,Drill Hall Cottages Tromode Road Douglas Isle Of Man IM2 5PA,"Change of use of existing cottages from residential to provide office, training and storage facilities",18-Sep-15,Director Delegation,Permitted
15/00958/B,Stella Maris Summerhill Douglas Isle Of Man IM2 4PG,"Erection of replacement front boundary wall, widening of vehicular access and erection of dwarf garden wall",01-Dec-15,Planning Committee,Permitted
15/00959/B,Stuggadhoo  St Marks Road Braaid Isle Of Man IM4 2AL ,Addition of a roof light and window to north elevation of approved extension (PA 12/01196/B) (retrospective),20-Oct-15,Planning Committee,Permitted
15/00960/B,Croit Vane Perwick Road Port St. Mary Isle Of Man IM9 5PB ,Creation of a front porch to dwelling,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00961/B,Starley Cottage Port Lewaigue Ramsey Isle Of Man IM7 1AJ ,Alterations and erection of extensions to existing former tholtan to provide ancillary living accommodation and vehicular access alterations to create a pedestrian access,21-Oct-15,Planning Committee,Permitted
15/00962/B,Sycamore House Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW ,Erection of a garden room extension to side elevation (amendment to PA 13/91019/B),30-Sep-15,Senior Planning Officer - North (CB),Permitted
15/00963/B,51 King Orry Road Glen Vine Isle Of Man IM4 4FL ,Erection of an extension to dwelling,12-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00964/LAW,4 Market Street Peel Isle Of Man IM5 1AD,Application to make lawful the erection of a garden summer house,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00965/C,10 Victoria Street Douglas Isle Of Man IM1 2LH,"Change of use of existing library building to offices, with variation of ground floor to include use as either retail or for the sale of food for consumption on and off the premises, wine bar or office",21-Oct-15,Planning Committee,Permitted
15/00966/B,Land Adj To Stuggadhoo Braaid Isle Of Man  ,Erection of a detached sun room building (retrospective),20-Oct-15,Planning Committee,Permitted
15/00967/B,Grounds Of Ramsey District Cottage Hospital  Cumberland Road  Ramsey Isle Of Man  ,Erection of a timber recreational building,04-Nov-15,Head of Development Management,Permitted
15/00968/B,Rowan House 4 Mona Street Ramsey Isle Of Man IM8 1BD,Erection of a porch extension and glazed roof lantern over existing flat roof extension,14-Oct-15,Senior Planning Officer - South (SC),Permitted
15/00969/B,1 Kella Close Sulby Isle Of Man IM7 2HQ,Installation of flue (retrospective),05-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00970/B,9 Ballachrink Drive Onchan Isle Of Man IM3 4NY,Alterations and extensions to dwelling,12-Oct-15,Head of Development Management,Permitted
15/00971/B,Plots 35 To 41 And Plot 47 Slieau Whallian View  Parts Of Fields 311826 & 311827 Between Poortown Road & QE2 High School  Peel Isle Of Man  ,Erection of 10 dwellings (to replace 8 dwellings approved under PA 13/91289/B),20-Oct-15,Planning Committee,Permitted
15/00973/B,38 Cronk Drean Douglas Isle Of Man IM2 6AU,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00974/B,3 Barrule Park Ramsey Isle Of Man IM8 2BW,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00975/B,Ballaughton Manor Saddle Road Douglas Isle Of Man IM2 1HG,"Erection of a replacement dwelling whilst retaining the front fa‡ade of the existing dwelling, including the erection of detached garaging with guest accommodation, gatehouse and landscaping",06-Oct-15,Planning Committee,Permitted
15/00976/B,Barns Ballacross Farm Poortown Road Peel Isle Of Man  ,Variation of condition 2 of approved conversion of redundant barns into three dwellings (PA 13/007330/B) to allow additional use of units as tourist accommodation,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00977/B,The Laurels Strathallan Road Onchan Isle Of Man IM3 1NN,Erection of three flag poles,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00980/REM,Land Adjacent To Kella Sheear Kella Road Sulby Isle Of Man  ,"Reserved matters application relating to PA 14/00687/A for erection of a dwelling, addressing siting, design, external appearance, internal layout and landscaping",07-Oct-15,Planning Committee,Permitted
15/00982/B,Thie Jiarg (formerly Reinwood) Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ,"Alterations, erection of extensions to dwelling, amendments to driveway and creation of a turning area",20-Oct-15,Planning Committee,Permitted
15/00983/B,Shore Hotel Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ,"Erection of a first floor balcony with doorway access, to front of building",01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00984/B,West Nappin Bungalow Church Road Jurby Isle Of Man IM7 3AU ,Erection of a front entrance porch and sun lounge extension to rear elevation,14-Oct-15,Senior Planning Officer - South (SC),Permitted
15/00985/B,Thie Hene Main Road Ballaugh Isle Of Man IM7 5EQ,Erection of a detached double garage,01-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00986/B,Ballagraingey Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT,Erection of extension to existing agricultural building,30-Sep-15,Senior Planning Officer - North (CB),Permitted
15/00987/B,Dhoor House  Andreas Road Dhoor Ramsey Isle Of Man IM7 4EB ,Drainage refurbishment works,10-Dec-15,Head of Development Management,Permitted
15/00988/B,Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE,"Erection of a roadside gardeners store with roof top viewing platform, greenhouse and garden shed",13-Oct-15,Withdrawn,Application Withdrawn
15/00989/B,Land At Ballawhane Farm Leodest Road Andreas Isle Of Man  ,Erection of a farm worker's dwelling (comprising amendments to PA 13/00509/B),05-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00990/B,3 Glen Park Drive Douglas Isle Of Man IM2 6HN,Erection of a sun lounge extension to rear elevation,05-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00991/B,Field 131452 Sulby Glen Sulby Isle Of Man  ,Erection of two detached dwellings with integral garages,01-Dec-15,Planning Committee,Refused
15/00992/B,36 Fairway Close Onchan Isle Of Man IM3 2EQ,Erection of gable roof extension and installation of roof lantern to rear elevation,06-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00994/B,34 Market Street Peel Isle Of Man IM5 1AE,Erection of a timber storage shed in rear yard,06-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00995/B,Firlea Phildraw Road Ballasalla Isle Of Man IM9 3EG,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,06-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00996/B,100 Ballamaddrell Port Erin Isle Of Man IM9 6AZ,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,06-Oct-15,Senior Planning Officer - North (CB),Permitted
15/00997/B,Baljean Cottage Baldhoon Road Laxey Isle Of Man IM4 7QL,"Alterations, erection of a two storey extension, creation of access and additional parking provision to dwelling",01-Dec-15,Planning Committee,Permitted
15/00998/GB,Harbour View Court Castle Street Peel Isle Of Man IM5 1AR,Installation of replacement double doors to restaurant (in association with 15/00999/CON),09-Nov-15,Head of Development Management,Permitted
15/00999/CON,Harbour View Court  Castle Street  Peel Isle Of Man ,Registered Building Consent for the installation of replacement double restaurant doors (RB no 104 in association with 15/00998/GB),05-Nov-15,Head of Development Management,Permitted
15/01000/B,Brackenhill House Ballacraine St Johns Isle Of Man IM4 3LR ,"Alterations, conversion of garage to provide ancillary living accommodation, and erection of extension and replacement garage to dwelling",15-Oct-15,Head of Development Management,Permitted
15/01001/B,Field 314294 Staarvey Farm  Staarvey Road Peel Isle Of Man  ,Erection of a polytunnel,30-Sep-15,Senior Planning Officer - North (CB),Permitted
15/01002/C,Winchester Court Second Avenue Onchan Isle Of Man IM3 4LT ,Change of use from existing office accommodation to consulting rooms for allied healthcare professionals,17-Nov-15,Planning Committee,Permitted
15/01003/B,16 Cherry Walk Douglas Isle Of Man IM2 5NN,Erection of a rear extension to dwelling,09-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01004/B,The Viking Hotel Station Road Castletown Isle Of Man IM9 1EF,Installation of replacement windows,09-Oct-15,Head of Development Management,Permitted
15/01005/C,29 Market Street Douglas Isle Of Man IM1 2PA,Change of use of from existing warehouse/retail premises to a fitness centre/dance studio,20-Oct-15,Planning Committee,Permitted
15/01006/B,2 Cronkbourne Road Douglas Isle Of Man IM2 3LB ,Installation of replacement windows to front dormer,09-Oct-15,Head of Development Management,Permitted
15/01007/B,"Fields 430344, 430355 & 430391 Glen Moar Corlea Road Ballasalla Isle Of Man  ",Reserved matters application relating to PA 14/01422/A for vehicular entrance and driveway to serve new agricultural building in Field 430359,20-Oct-15,Planning Committee,Permitted
15/01008/B,Plot Adjacent To Ballaghreiney Station Road Port St. Mary Isle Of Man  ,Erection of two detached dwellings with integral garages,20-Oct-15,Planning Committee,Permitted
15/01009/B,18 Somerset Road Douglas Isle Of Man IM2 5AD,"Demolition of existing garages and erection of replacement double garage, to rear elevation",13-Oct-15,Senior Planning Officer - North (CB),Permitted
15/01010/B,49 Hildesley Road Douglas Isle Of Man IM2 5AX,Re-slating of roof with synthetic slate (retrospective),12-Oct-15,Head of Development Management,Permitted
15/01011/D,38 Woodburn Square Douglas Isle Of Man IM1 4DD ,Erection of signage,12-Oct-15,Head of Development Management,Permitted
15/01012/B,44 Douglas Street Peel Isle Of Man IM5 1BD,Installation of replacement windows and roof lights to front and rear elevations,12-Oct-15,Head of Development Management,Permitted
15/01013/B,Land At Clarecourt Marathon Road Douglas Isle Of Man  ,Erection of a dwelling with detached garage and greenhouse/shed,15-Oct-15,Head of Development Management,Permitted
15/01014/B,Close Mooar Farm Glen Roy Laxey Isle Of Man IM4 7QF ,"Conversion of existing outbuildings into two holiday cottages and extension of garage to form log store, workshop and implement shed",10-Nov-15,Director Delegation,Permitted
15/01015/B,Detached Garage Associated With   35 Brunswick Road Douglas Isle Of Man IM2 3NW,Erection of a replacement garage,12-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01016/B,3 Mourne View Peel Isle Of Man IM5 1UJ,"Alteration and extension to dwelling, extension to patio area and alteration to driveway and turning area within site",13-Oct-15,Senior Planning Officer - North (CB),Permitted
15/01017/B,Part Field 531216  Woodland Heights Ashley Road Onchan Isle Of Man  ,Erection of a stable block,12-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01018/B,8 Waterloo Road Ramsey Isle Of Man IM8 1DS,Alterations and erection of a replacement garage to rear elevation,13-Oct-15,Senior Planning Officer - North (CB),Permitted
15/01019/C,Outbuildings At Ballavoddan Phildraw Road Ballasalla Isle Of Man IM9 3EG,Change of use of existing outbuildings to provide ancillary living accommodation,09-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01020/B,20 Demesne Road Douglas Isle Of Man IM1 3DY,Installation of replacement windows on first and second floors to front elevation,02-Nov-15,Planning Committee,Permitted
15/01021/B,Poylbreck East Baldwin Isle Of Man IM4 5EW ,Installation of turbine on river bank and associated works to generate domestic electricity to property (amendments to PA 14/00356/B),15-Oct-15,Head of Development Management,Permitted
15/01022/B,6 Campion Close Reayrt Ny Keylley Peel Isle Of Man IM5 1GD ,Erection of a sun lounge extension to rear elevation,15-Oct-15,Head of Development Management,Permitted
15/01023/B,3 Creggan Ashen Glen Maye Park Glen Maye Isle Of Man IM5 3DA ,Installation of a flue,21-Oct-15,Head of Development Management,Permitted
15/01024/B,8 Ballakermeen Road Douglas Isle Of Man IM1 4BJ,Creation of off street parking and vehicular access to the highway,15-Oct-15,Head of Development Management,Permitted
15/01025/B,Ballacorkish Farm Scholaby Road Colby Isle Of Man IM9 4AH,Erection of two agricultural buildings (comprising amendments to PA 14/01273/B),16-Oct-15,Head of Development Management,Permitted
15/01026/B,3 Mountain View Peel Isle Of Man IM5 1QD,"Erection of a two storey extension to rear, attic conversion involving raising of the roof and new pitched roof over garage",15-Oct-15,Head of Development Management,Permitted
15/01027/B,156 Fairways Crescent Mount Murray Douglas Isle Of Man IM4 2JJ ,"Alterations, erection of two storey extensions and single storey garage link extension to dwelling",16-Dec-15,Senior Planning Officer - South (SC),Permitted
15/01028/B,2 Springfield Terrace Foxdale Isle Of Man IM4 3HG,Demolition of existing attached garage and rear lean-to and erection of a rear two storey extension to dwelling,05-Nov-15,Head of Development Management,Permitted
15/01029/GB,18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ,Conversion of existing retail premises to a coffee shop including blocking up existing entrance door and installation of new entrance door (in association with 15/01030/CON),12-Nov-15,Head of Development Management,Permitted
15/01030/CON,18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ,"Registered Building Consent for conversion of existing retail premises to a coffee shop including internal alterations, blocking up existing entrance door and installation of new entrance door (RB no 223 in association with 15/01029/GB)",12-Nov-15,Head of Development Management,Permitted
15/01031/B,Glentruan Cottage Lhen Road Bride Isle Of Man IM7 4BG,Demolition of existing detached garage and erection of single storey building to be used for cookery courses (amendments to PA 15/00185/B),20-Oct-15,Planning Committee,Permitted
15/01032/B,Injebreck Bray Hill Douglas Isle Of Man IM2 5AN,Replacement of existing polycarbonate roof to conservatory with light weight roof tiles,15-Oct-15,Head of Development Management,Permitted
15/01033/B,The Warehouse 15 Mona Street Ramsey Isle Of Man IM8 1BD,Installation of replacement windows,16-Oct-15,Head of Development Management,Permitted
15/01034/B,38 - 40B Finch Road & Nos 19 & 21 Well Road Hill Douglas Isle Of Man IM1 2PP,"Variation of condition one of approved PA 11/01447/B (replacement of existing retail and residential units with office building, Use Classes 2a, 2b and 4) in order to extend period of permission by four years",03-Nov-15,Planning Committee,Permitted
15/01035/B,Vollan Garden Bride Road Ramsey Isle Of Man IM8 3UN ,Erection of extension to dwelling and additional use of part of dwelling as tourist accommodation,02-Nov-15,Director Delegation,Permitted
15/01036/B,Sunny Crest Main Road Santon Isle Of Man IM4 1EE,Erection of an extension and installation of replacement roof tiles to dwelling,09-Nov-15,Senior Planning Officer - South (SC),Permitted
15/01037/B,Ballagarey Farm St Marks Ballasalla Isle Of Man IM9 3AH ,Erection of an implements shed,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01038/B,Ballakissack Farm  School Lane Santon Isle Of Man IM4 1EG,Erection of an agricultural building,16-Oct-15,Head of Development Management,Permitted
15/01039/B,18 Stanley Road Peel Isle Of Man IM5 1NX,Installation of dormer window to rear elevation,16-Oct-15,Head of Development Management,Permitted
15/01040/B,5 Homefield Park Ballasalla Isle Of Man IM9 2EL,Erection of extensions to dwelling,16-Oct-15,Head of Development Management,Permitted
15/01041/A,Land Adjacent To WDS Limited  Millmount Douglas Isle Of Man IM2 1HD,Approval in principle for erection of a dwelling addressing  means of access,02-Nov-15,Director Delegation,Permitted
15/01042/B,34 Patrick Street Peel Isle Of Man IM5 1BR,Erection of kitchen extension and installation of replacement windows to front elevation,16-Oct-15,Head of Development Management,Permitted
15/01043/B,10 Little Meddow Andreas Isle Of Man IM7 4HY,Installation of external flue to rear elevation,29-Oct-15,Director Delegation,Permitted
15/01045/C,Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,Temporary change of use from school grounds to a campsite of a maximum of 150 bell tents for the period 27th May to 17th June 2016 in connection with the TT Races,03-Nov-15,Planning Committee,Permitted
15/01046/D,Falcon House 22 - 24 Ridgeway Street Douglas Isle Of Man IM1 1EL ,Erection of advertising signage,17-Nov-15,Planning Committee,Refused
15/01047/B,44-46 Broadway Douglas Isle Of Man IM2 4EW,Conversion of existing residential accommodation above retail units into three apartments,26-Oct-15,Director Delegation,Permitted
15/01048/B,3 Bayr Grianagh Castletown Isle Of Man IM9 1HJ,Alterations and extension to dwelling (comprising amendments to PA 14/01408/B),21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01049/B,10 Park Road Ramsey Isle Of Man IM8 3AR,Creation of a driveway and vehicular access to dwelling,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01050/B,7 Manor Park Onchan Isle Of Man IM3 2EW,Erection of a replacement conservatory to front elevation of dwelling,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01051/B,21 Scarlett Road Castletown Isle Of Man IM9 1NS,Alterations and first floor extensions to dwelling,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01052/B,Tromode Drill Hall  Tromode Road Douglas Isle Of Man IM2 5PA,Erection of two Emergency Services storage buildings,26-Oct-15,Director Delegation,Permitted
15/01053/B,Little Acre Quarterbridge Road Douglas Isle Of Man IM2 3RH,Erection of extension to provide three additional pens to existing cattery building,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01054/B,Polzeath 29 Ballanard Road Douglas Isle Of Man IM2 5HA,Replacement of existing glazed conservatory roof with roof tiles,21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01055/A,Plot Adjacent To Maughold Lodge Claughbane Walk Ramsey Isle Of Man  ,Approval in principle for erection of two dwellings addressing means of access,01-Dec-15,Planning Committee,Permitted
15/01056/B,The Meadows Port E Chee Tromode Douglas Isle Of Man IM2 5PD ,"Alterations to vehicular entrance with associated brick and stone pillars, bin store, pedestrian access and entrance gates",21-Oct-15,Senior Planning Officer - South (SC),Permitted
15/01057/B,38 Malew Street Castletown Isle Of Man IM9 1AF,Installation of replacement windows to front elevation,29-Oct-15,Director Delegation,Permitted
15/01058/B,Tillyloss West Baldwin Isle Of Man IM4 5HE ,Installation of dormer window to north elevation,29-Oct-15,Director Delegation,Permitted
15/01059/B,56 - 58 Duke Street Douglas Isle Of Man IM1 2AR,Installation of replacement shop frontage,05-Nov-15,Head of Development Management,Permitted
15/01060/D,56 - 58 Duke Street Douglas Isle Of Man IM1 2AR,Installation of illuminated and non-illuminated signage,05-Nov-15,Head of Development Management,Permitted
15/01061/B,4 Bay View Terrace Laxey Isle Of Man IM4 7DG,Installation of replacement front door,21-Oct-15,Senior Planning Officer - South (SC),Permitted
