"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"12/00472/B","Installation of automatic garage doors to existing parking spaces","9 Clarence Terrace Central Promenade Douglas Isle Of Man IM2 4LS ","Permitted","04-May-12","Senior Planning Officer - South (SC)","2012"
"12/00473/B","Erection of two sheds","Part Field 624114 Rhowin Road Maughold Isle Of Man  ","Permitted","12-Jul-12","Senior Planning Officer - South (SC)","2012"
"12/00474/B","Creation of a drive way and parking / turning area","Ny-Garaghyn Grove Mount Ramsey Isle Of Man IM8 3HN","Refused","04-May-12","Senior Planning Officer - South (SC)","2012"
"12/00475/B","Installation of plastic cladding to gable ends of dwelling","52 Birch Hill Close Onchan Isle Of Man IM3 3DH","Permitted","04-May-12","Senior Planning Officer - South (SC)","2012"
"12/00476/B","Demolition of existing rear extension and erection of a replacement two storey extension including erection of detached double garage","Thie Y Chleree Maughold Isle Of Man IM7 1AS ","Permitted","16-May-12","Senior Planning Officer - North (CB)","2012"
"12/00477/B","Demolition of existing rear annex and erection of two storey extension","4 Eastfield Douglas Isle Of Man IM1 4AU","Permitted","04-May-12","Senior Planning Officer - North (CB)","2012"
"12/00478/B","Alteration to south elevation window","7 Marlborough Crescent Ramsey Isle Of Man IM8 3NE","Permitted","14-May-12","Senior Planning Officer - South (SC)","2012"
"12/00479/B","Erection of stables within steel portal building (Retrospective)","Part Of Field 1403 Staarvey Road Peel Isle Of Man  ","Refused","12-Jun-12","Planning Committee","2012"
"12/00480/B","Erection of front porch","Eary Ween East Baldwin Isle Of Man IM4 5ER ","Permitted","15-May-12","Senior Planning Officer - North (CB)","2012"
"12/00481/C","Change of use from amusement arcade to retail (Use Class 1 in Schedule 4 of Permitted Development 2005)","68 - 72 Strand Street Douglas Isle Of Man IM1 2EW","Permitted","15-May-12","Senior Planning Officer - South (SC)","2012"
"12/00482/B","Installation of a replacement front door","49 Hildesley Road Douglas Isle Of Man IM2 5AX","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00483/B","Erection of an extension and conversion of dwelling to create three self contained apartments","42 Woodbourne Road Douglas Isle Of Man IM1 3AN","Refused","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00484/B","Alterations, erection of extension and installation of replacement windows to dwelling","9 Governors Road Onchan Isle Of Man IM3 1AX","Permitted","31-May-12","Senior Planning Officer - South (SC)","2012"
"12/00485/B","Alterations and erection of an extension to dwelling","53 Lhon Vane Close Onchan Isle Of Man IM3 3BA","Permitted","15-May-12","Senior Planning Officer - South (SC)","2012"
"12/00486/B","Alterations and extensions to dwelling","Briardene Main Road Baldrine Isle Of Man IM4 6DU","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00487/B","Installation of a replacement front door and door surround","Beach House Beach Road Port St. Mary Isle Of Man IM9 5ND","Permitted","04-May-12","Senior Planning Officer - North (CB)","2012"
"12/00488/B","Alterations and increase in curtilage boundary to include a track and turning area (retrospective)","Tholt Y Will House Tholt Y Will Sulby Isle Of Man IM7 2BF ","Application Withdrawn","14-Jun-12","Withdrawn","2012"
"12/00489/B","Alterations and erection of extensions","Douglas Crematorium Glencrutchery Road Douglas Isle Of Man IM2 6DB","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00490/B","Installation of replacement windows and new roof","The Artist 37 Nelson Street Douglas Isle Of Man IM1 2AJ","Permitted","04-May-12","Senior Planning Officer - North (CB)","2012"
"12/00491/B","Extension to garage","11 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ","Permitted","04-May-12","Senior Planning Officer - North (CB)","2012"
"12/00492/C","Additional use to include serviced residential apartments as well as tourism and hotel use, excluding third floor (apartments 6 and 7)","Britannia And Irwell House 3 Harris Promenade Douglas Isle Of Man IM1 2HH ","Permitted","10-Aug-12","Senior Planning Officer - South (SC)","2012"
"12/00493/B","Renovation and conversion of existing barns to create two residential units for both permanent and tourist accommodation","Barns Ballawhannell Farm Lhen Road Bride Isle Of Man IM7 3EA ","Permitted","16-Jul-12","Senior Planning Officer - South (SC)","2012"
"12/00495/B","Alterations and extensions to dwelling","Ballacregga Farmhouse  Agneash Road Agneash Isle Of Man IM4 7NS ","Permitted","16-May-12","Senior Planning Officer - South (SC)","2012"
"12/00496/B","Window alterations and installation of two dormer windows to dwelling","Greeba Tennis Road Douglas Isle Of Man IM2 3LX","Permitted","15-May-12","Senior Planning Officer - North (CB)","2012"
"12/00497/B","Alterations and installation of replacement windows and doors","Ivy Cottage Smeale Road Andreas Isle Of Man IM7 4JA","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00498/B","Extension to residential curtilage (Retrospective)","39 Cherry Walk Douglas Isle Of Man IM2 5NW","Permitted","29-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00499/B","Creation of a driveway and vehicular access","Laureston The Level Colby Isle Of Man IM9 4AG","Permitted","07-Aug-12","Planning Committee","2012"
"12/00500/B","Erection of a detached garage with garden room / store below","2 Ballacallin Cottages Gordon Peel Isle Of Man IM5 3AR ","Permitted","24-May-12","Senior Planning Officer - North (CB)","2012"
"12/00501/C","Additional use of retail shop for the sale of hot and cold take-away food","Shop 2 Marine House Strand Road Port Erin Isle Of Man IM9 6HF ","Permitted","16-May-12","Senior Planning Officer - North (CB)","2012"
"12/00502/B","Erection of a detached building and associated paved area for barbeque use","Kione Droghad Castle Hill Douglas Isle Of Man IM2 4AD","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00503/B","Alterations and extension to dwelling","25 Perwick Road (Known As 25 Perwick Bay) Port St. Mary Isle Of Man IM9 5PA","Permitted","16-May-12","Senior Planning Officer - North (CB)","2012"
"12/00504/B","Creation of vehicular access and hard standing in front garden","20 Auburn Road Onchan Isle Of Man IM3 1LW","Permitted","16-May-12","Senior Planning Officer - North (CB)","2012"
"12/00505/B","Erection of timber summer house","The Old Mill Harbour Road Santon Isle Of Man IM4 1HF ","Application Withdrawn","01-May-12","Withdrawn","2012"
"12/00506/B","Erection of an orangery extension (comprising amendments to PA 08/00994/B)","Crogga Mansion House Old Castletown Road Crogga Santon Isle Of Man IM4 1EB","Permitted","30-May-12","Planning Committee","2012"
"12/00507/D","Erection of advertising signage","Chemist 3 Hailwood Court Douglas Isle Of Man IM2 7EA ","Permitted","16-May-12","Senior Planning Officer - South (SC)","2012"
"12/00508/B","Erection of a polytunnel","Rushen Primary School Church Road Port St. Mary Isle Of Man IM9 5LW ","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00509/B","Alterations and erection of extensions to dwelling","Southdown 18 Greeba Avenue Glen Vine Isle Of Man IM4 4EE ","Permitted","16-May-12","Senior Planning Officer - North (CB)","2012"
"12/00510/B","Installation of replacement windows to front elevation","5 Selborne Road Douglas Isle Of Man IM1 4BT","Permitted","16-May-12","Senior Planning Officer - South (SC)","2012"
"12/00511/B","Alterations and extension to dwelling and alterations to driveway and access (Amendments to PA 11/00498/B)","5 Baldrine Park Baldrine Isle Of Man IM4 6DE ","Permitted","16-May-12","Senior Planning Officer - South (SC)","2012"
"12/00512/B","Erection of a detached building to provide indoor tennis court, squash court and gymnasium with timber bridge walkway through garden and new emergency and maintenance vehicular access onto Mountain Road","Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE","Application Withdrawn","01-Jun-12","Withdrawn","2012"
"12/00513/B","Installation of roof lights and creation of gable window to dwelling","Silver Lodge Baldhoon Road Laxey Isle Of Man IM4 7QG","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00514/B","Realignment and replacement of railway lines, power supply posts and overhead power wiring, improvements to pedestrian access to station, re-grading of south end of Rose Garden to provide ramped access to station, replacement of ground finish to station p","Manx Electric Railway Station, Rose Garden And  Whitehouse Square  Main Road  Laxey Isle Of Man ","Permitted","18-Sep-12","Planning Committee","2012"
"12/00515/B","Erection of a conservatory to rear elevation of dwelling","32 Carrick Park Sulby Isle Of Man IM7 2EY","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00516/B","Alterations and erection of an extension to dwelling","47 Maple Avenue Onchan Isle Of Man IM3 3GA","Refused","16-May-12","Senior Planning Officer - South (SC)","2012"
"12/00517/B","Installation of French doors to replace existing bay window","1 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ","Permitted","30-May-12","Planning Committee","2012"
"12/00518/B","Installation of window to replace existing garage doors and door to side elevation","Cair Vie Belle Vue Peel Isle Of Man IM5 1UH","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00519/B","Creation of a public car park and vehicular access","Site Adjacent To Central Stores Main Road Union Mills Isle Of Man  ","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00520/D","Erection of illuminated signage","8 Castle Street Douglas Isle Of Man IM1 2EU ","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00521/D","Erection of signage","Victoria Hall  Prospect Hill Douglas Isle Of Man IM1 2PX","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00522/A","Approval in principle for refurbishment and conversion of redundant barns into two dwellings","Skerrisdale Mooar Peel Road Kirk Michael Isle Of Man IM6 1HP","Permitted","24-Aug-12","Head of Development Management","2012"
"12/00523/C","Use of part of Quarry floor for re-cycling of inert construction materials","Cringle Quarry Ronague Castletown Isle Of Man IM9 4HJ ","Permitted","11-Jul-12","Planning Committee","2012"
"12/00524/B","Erection of a shed","Land At Thie Rosien Castletown Road Port Erin Isle Of Man  ","Permitted","13-Aug-12","Senior Planning Officer - North (CB)","2012"
"12/00525/A","Approval in principle for erection of three dwellings","Field 432533,432534 And 432535  Phildraw Road Ballasalla Isle Of Man  ","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00526/B","Installation of replacement ground floor bay windows","Flat 1   155 Woodbourne Road Douglas Isle Of Man IM2 3BB","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00527/B","Part demolition of existing building and erection of a dwelling on adjacent land","Sycamore House Glen Duff Ramsey Isle Of Man IM7 2AT ","Permitted","26-Jun-12","Planning Committee","2012"
"12/00528/B","Replace existing garage door with bi fold uPVC doors","Cronk Geayee Ballagawne Road Colby Isle Of Man IM9 4BB","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00529/C","Change of use of first floor apartment from residential to nursery use","Pumpkin Patch Child Care Centre 13 & 14 Hailwood Court Douglas Isle Of Man IM2 7EA ","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00530/C","Additional use of residential dwelling as tourist accommodation","1 Charles Street Peel Isle Of Man IM5 1AF","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00531/B","Erection of two dwellings with associated parking","Kalaw 41 Groudle Road Onchan Isle Of Man IM3 2EF","Deemed withdrawn 4(3) Dev Pro Order 2005","21-May-12","Withdrawn","2012"
"12/00532/B","Installation of replacement windows to front elevation","78A Malew Street Castletown Isle Of Man IM9 1LS","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00533/B","Erection of dwelling with garage","Plot 23 Murrays Lake Drive Mount Murray Douglas Isle Of Man  ","Permitted","30-May-12","Planning Committee","2012"
"12/00534/A","Approval in principle for development of site to create a builders and timber merchants premises","Land Adjacent To Car Showroom Balthane Industrial Estate Balthane Ballasalla Isle Of Man  ","Permitted","30-May-12","Planning Committee","2012"
"12/00535/B","Erection of an antenna with support poles and wires","Dovedale Hillberry Road Onchan Isle Of Man IM3 3BQ","Permitted","13-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00536/B","Demolition of existing 14 dwellings and erection of 16 elderly persons dwellings with new access road, parking and associated Biomass Boiler House to serve community heating scheme (Amendments to PA 11/00013/B)","Project 4 Site 1 - 27 Clagh Vane Ballasalla Isle Of Man IM9 2EU","Permitted","07-Aug-12","Department Application","2012"
"12/00537/B","Creation of vehicular access and hard-standing to side of dwelling","1 Willow Close Ballawattleworth Estate Peel Isle Of Man IM5 1WL ","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00538/B","Demolition of existing dwelling and erection of apartment buildings consisting of seven apartments with associated garaging, parking and site works","Ballure Ballure Promenade Ramsey Isle Of Man IM8 1NN","Application Withdrawn","11-Dec-12","Withdrawn","2012"
"12/00539/B","Erection of a fence / trellis (retrospective)","Yn Darragh Darragh Port Erin Isle Of Man IM9 6JB","Permitted","17-May-12","Senior Planning Officer - North (CB)","2012"
"12/00540/B","Erection of decking and shelter in rear garden and fencing in front garden (Retrospective)","6 Coronation Court Ramsey Isle Of Man IM8 3EF","Permitted","30-May-12","Planning Committee","2012"
"12/00541/B","Installation of replacement windows and doors","Gymnasium Glencrutchery Special School Glencrutchery Road Douglas Isle Of Man IM2 6EB","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00542/C","Additional use of accommodation over garage as tourist accommodation","Yn Rheash Corlea Road Ballasalla Isle Of Man IM9 3BA","Application Withdrawn","06-Jun-12","Withdrawn","2012"
"12/00543/B","Erection of a residential development comprising three apartments and one house","Land Adjacent To Waterfall Hotel Carpark Shore Road Glen Maye Isle Of Man  ","Application Withdrawn","26-Jun-12","Withdrawn","2012"
"12/00544/B","Installation of four roof lights","The Barn Maughold Isle Of Man IM7 1AS ","Permitted","17-May-12","Senior Planning Officer - South (SC)","2012"
"12/00545/B","Erection of a replacement dwelling","Thie Ny Strooan Hillberry Green Douglas Isle Of Man IM2 6DE","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00546/B","Installation of replacement windows to roadside elevation","Pinewoods Barrule Road Foxdale Isle Of Man IM4 3ES","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00547/B","Installation of replacement windows to front and rear elevations","Flat 5  The Imperial The Promenade Port St. Mary Isle Of Man IM9 5DE","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00548/B","Installation of a roof light (retrospective)","7 Derby Road Douglas Isle Of Man IM2 3ES","Permitted","18-May-12","Senior Planning Officer - South (SC)","2012"
"12/00549/C","Additional use of lower ground apartment as holiday accommodation","Rhynefield West Baldwin Isle Of Man IM4 5HD ","Application Withdrawn","16-May-12","Withdrawn","2012"
"12/00550/B"," Installation of a steel flue","Peel Sailing And Cruising Club  The Rocket House Crown Street Peel Isle Of Man IM5 1AJ","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00551/B","Erection of an extension to existing detached garage","Seathwaite 13 Perwick Road Port St. Mary Isle Of Man IM9 5PB","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00552/B","Alterations and extensions to dwelling","Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF ","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00553/B","Alterations and extension to dwelling (comprising amendment to PA 09/01930/B)","Close Mooar Glen Darragh Road Glen Vine Isle Of Man IM4 4BE","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00554/B","Erection of a wooden potting shed and tool store and two netting tunnels","The Secret Garden Nurseries Ballacharry Road St Marks Ballasalla Isle Of Man IM9 3AU ","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00555/B","Erection of a replacement shed","Ivy Dene Wheel Hill Laxey Isle Of Man IM4 7NL","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00556/B","Erection of a dwelling with associated services, driveway, vehicular access and detached double garage","Plot Adjacent To 15 Farmhill Drive Douglas Isle Of Man IM2 2EQ ","Permitted","12-Jun-12","Head of Development Management","2012"
"12/00557/B","Installation of replacement windows and door to front elevation","38 Demesne Road Douglas Isle Of Man IM1 3DY","Permitted","31-May-12","Senior Planning Officer - South (SC)","2012"
"12/00558/B","Erection of a replacement dwelling","Chibbraghin Dalby Isle Of Man IM5 3BW ","Permitted","11-Jul-12","Planning Committee","2012"
"12/00559/B","Erection of a first floor extension with roof terrace above and erection of a detached toilet block","Grandstand Mountain Road Onchan Isle Of Man IM4 5BP","Refused","12-Jun-12","Head of Development Management","2012"
"12/00560/B","Erection of a first floor extension over garage and sun room extension to replace existing conservatory to rear elevation","57 Governors Hill Douglas Isle Of Man IM2 7AU","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00561/B","Alterations, erection of an extension and creation of a new driveway","Highcroft Ramsey Road Laxey Isle Of Man IM4 7PR","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00562/B","Conversion of lower floor stores to provide ancillary living accommodation","74 Ballabrooie Way Douglas Isle Of Man IM1 4HB","Permitted","05-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00563/B"," Demolition of existing chalet dwelling and replacement in new location with a single storey dwelling utilizing existing drive access","Field 134924 Lower Glentramman Farm  Garey Road Garey Ramsey Isle Of Man  ","Permitted","30-May-12","Planning Committee","2012"
"12/00564/B","Installation of solar panels to south elevation","17 Palace Road Douglas Isle Of Man IM2 4LB ","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00565/B","Alterations and erection of a single storey and part two storey extension to dwelling","3 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU","Permitted","24-May-12","Senior Planning Officer - North (CB)","2012"
"12/00566/A","Approval in principle for erection of a farm worker's dwelling","Part Of Field 432608 Douglas Road Ballasalla Isle Of Man  ","Permitted","30-May-12","Planning Committee","2012"
"12/00567/B","Erection of extensions to existing agricultural building","Agricultural Building  Seafield Farm Bollyn Road Ballaugh Isle Of Man  ","Permitted","16-Oct-12","Planning Committee","2012"
"12/00568/B","Erection of a garden shed","1 Campion Crescent Reayrt Ny Keylley Peel Isle Of Man IM5 1GE ","Permitted","23-May-12","Senior Planning Officer - North (CB)","2012"
"12/00569/B","Erection of attached wood store","11 Ballachrink Colby Isle Of Man IM9 4PB","Permitted","24-May-12","Senior Planning Officer - North (CB)","2012"
"12/00570/B","Environmental improvements including new road, parking facilities, enhanced paving surfaces, upgraded boundary fencing and improvements to communal areas","Kerroo Coar, Glen Faba, Roxwell Terrace, North View,  St Germans Place, Heathfield Drive, West View And Boilley Spittal  Peel","Permitted","20-Nov-12","Department Application","2012"
"12/00571/B","Alterations, erection of extensions to side and rear elevations and installation of roof lights and dormer window to dwelling","Shan Vallah The Colony Port Lewaigue Ramsey Isle Of Man IM7 1AL","Permitted","31-Oct-12","Planning Committee","2012"
"12/00572/B","Re rendering work to dwelling","29 Devonshire Road Douglas Isle Of Man IM2 3QZ","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00574/B","Alterations and extensions to dwelling (comprising amendments to PA 10/00542/B)","Ballagarraghyn Manor Main Road Greeba Isle Of Man IM4 3LH","Permitted","24-May-12","Senior Planning Officer - South (SC)","2012"
"12/00575/B","Erection of an extension over existing detached garage","26 Kerrocruin Kirk Michael Isle Of Man IM6 1AG","Permitted","18-Oct-12","Senior Planning Officer - North (CB)","2012"
"12/00576/B","Infill extension to courtyard to create garden room","Cronkould House Main Road Ballaugh Isle Of Man IM7 5ED","Permitted","05-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00577/B","Installation of replacement windows to front and rear elevations","Glen Villa  5 Sherwood Terrace Douglas Isle Of Man IM2 4EN ","Permitted","30-May-12","Planning Committee","2012"
"12/00578/B","Conversion of existing studio / store above existing garage to create additional ancillary living accommodation with additional use for tourist accommodation","Cronk Froy Knock Froy Road Santon Isle Of Man IM4 1JD ","Permitted","24-May-12","Senior Planning Officer - North (CB)","2012"
"12/00579/A","Approval in principle for erection of two dwellings","Field 534183 Clypse Onchan Isle Of Man  ","Refused","29-May-12","Head of Development Management","2012"
"12/00580/B","Creation of a driveway and vehicular access","15 Clypse Road Douglas Isle Of Man IM2 6JE","Permitted","13-Jul-12","Senior Planning Officer - South (SC)","2012"
"12/00581/B","Conversion of former vehicle showroom and workshop into a childrens play facility with cafe  ","S & S Motors Milner Terrace/Alexandra Road  Castletown Isle Of Man","Refused","21-Aug-12","Planning Committee","2012"
"12/00582/B","Creation of a temporary access track and erection of a temporary general purpose agricultural building to house garden maintenance machinery, vehicles and helicopter","Cronk Breck Bernahara Road Andreas Isle Of Man IM7 3HH ","Refused","12-Jun-12","Planning Committee","2012"
"12/00583/B","Installation of two display windows","Unit 12A Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4QD ","Permitted","31-May-12","Senior Planning Officer - South (SC)","2012"
"12/00584/A","Approval in principle for the erection of a dwelling","Site Within Garden Of The Old Vicarage Barracks Road Port St. Mary Isle Of Man  ","Refused","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00585/B","Installation of replacement windows and door to front elevation","8 The Crofts Castletown Isle Of Man IM9 1LW","Refused","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00586/B","Installation of replacement windows and door to front elevation","Rhennybeg Rhenny Mooar Lane Greeba Isle Of Man IM4 2DT","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00587/B","Installation of replacement windows and front door","Rencell Cottage Rencell Laxey Isle Of Man IM4 7BN ","Permitted","16-Jul-12","Senior Planning Officer - South (SC)","2012"
"12/00588/B","Re positioning of personnel door to approved store building (PA 12/00005/B)","Cringle Quarry Ronague Castletown Isle Of Man IM9 4HJ ","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00589/B","Alteration to front porch","Flat 2  Elfin Court Vernon Road Ramsey Isle Of Man IM8 2HB","Permitted","31-May-12","Senior Planning Officer - South (SC)","2012"
"12/00590/B","Erection of a detached double garage and garden store with storage space above","Mullen Rhenass Rhenass Road Cronk Y Voddy Kirk Michael Isle Of Man IM6 1BB","Permitted","29-May-12","Senior Planning Officer - North (CB)","2012"
"12/00591/B","Erection of a double garage to replace existing garage","Fuchsia Cottage Castletown Road Port St. Mary Isle Of Man IM9 5LT","Permitted","25-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00592/B","Installation of replacement front door","5 Market Place Peel Isle Of Man IM5 1AB","Permitted","07-Aug-12","Senior Planning Officer - North (CB)","2012"
"12/00593/B","Erection of garage in rear yard (Retrospective)","62 Woodbourne Road Douglas Isle Of Man IM1 3AW","Permitted","24-Jul-12","Senior Planning Officer - North (CB)","2012"
"12/00594/B","Alteration to rear patio doors","30 Heywood Close Onchan Isle Of Man IM3 3AF","Permitted","31-May-12","Senior Planning Officer - South (SC)","2012"
"12/00595/B","Alterations, erection of rear extension, refurbishment of roof terrace and creation of a bridge link to rear garden","14 Leigh Terrace Douglas Isle Of Man IM1 5AN","Permitted","29-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00596/B","Alterations and installation of window to replace existing garage door","Mauna Kea Ramsey Road Laxey Isle Of Man IM4 7PY","Permitted","31-May-12","Senior Planning Officer - South (SC)","2012"
"12/00597/A","Approval in principle for erection of a dwelling","Garden Forming Part Of Mountain View Sound Road Glen Maye Isle Of Man IM5 3BJ","Refused","21-Aug-12","Planning Committee","2012"
"12/00598/B","Installation of two dormers to replace existing roof lights to front elevation","49 The Promenade Castletown Isle Of Man IM9 1BQ","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00599/B","Erection of garden walls","16 Abbots Close Ballasalla Isle Of Man IM9 3EA ","Permitted","31-May-12","Senior Planning Officer - North (CB)","2012"
"12/00600/B","Alterations and erection of extensions to dwelling","Far End 88 King Edward Road Onchan Isle Of Man IM3 2AU","Permitted","13-Jun-12","Head of Development Management","2012"
"12/00601/B","Erection of a flat roof extension to dwelling","9 Cooil Close Douglas Isle Of Man IM2 2HH","Permitted","01-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00602/B","Installation of lighting to existing signage and installation of a display cabinet","Living Hope Community Church  Former Gymnasium Adjacent To Palace Cinemas Car Park Central Promenade Douglas Isle Of Man  ","Permitted","01-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00603/LAW","Application for a certificate of lawfulness seeking removal of an agricultural workers occupancy from dwelling","Corlea Bungalow Corlea Road Ballasalla Isle Of Man IM9 3BA","Certificate of Lawfulness AGREED","13-Aug-12","Head of Development Management","2012"
"12/00604/D","Erection of illuminated signage","Sea Terminal Building Victoria Pier Douglas Isle Of Man IM1 2BZ ","Permitted","07-Aug-12","Department Application","2012"
"12/00605/B","Alterations and erection of an extension to rear of dwelling","7 Ballaughton Villas Douglas Isle Of Man IM2 1JF","Permitted","01-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00606/B","Replace existing window with french doors to northwest elevation of dwelling","Balladane Queens Road Port St. Mary Isle Of Man IM9 5EZ","Permitted","29-May-12","Senior Planning Officer - North (CB)","2012"
"12/00607/B","Demolition of existing dilapidated outbuildings, repair of existing garden wall and provision of new car parking area","Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ","Permitted","12-Jun-12","Planning Committee","2012"
"12/00608/B","Erection of an extension to replace conservatory to rear of dwelling","Honiton Queens Road Port St. Mary Isle Of Man IM9 5EN","Permitted","25-Jun-12","Planning Committee","2012"
"12/00609/C","Change of use of approved tourist accommodation to residential accommodation","Hillside Cottage Smeale Road Andreas Isle Of Man IM7 4JA","Permitted","18-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00610/B","Replace existing garage door with patio doors","8 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QN","Permitted","07-Jun-12","Director Delegation","2012"
"12/00611/B","Conversion of residential dwelling into three self contained flats","20 Mona Street Douglas Isle Of Man IM1 2QD","Permitted","14-Jun-12","Head of Development Management","2012"
"12/00612/B","Installation of a replacement roof to sun lounge","47 Brunswick Road Douglas Isle Of Man IM2 3NW","Permitted","14-Jun-12","Head of Development Management","2012"
"12/00613/D","Erection of signage","Unit's 15, L, 11B & 11A Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH","Permitted","07-Jun-12","Director Delegation","2012"
"12/00614/B","Installation of two replacement windows, one with a lead finish roof and support brackets","20 Fairway Close Port Erin Isle Of Man IM9 6LS","Permitted","07-Jun-12","Director Delegation","2012"
"12/00615/C","Change of use from car restoration garage to a garden centre retail outlet","Premises And Yard Auto Centre Workshop Albert Road Ramsey Isle Of Man IM8 1JB","Permitted","14-Jun-12","Head of Development Management","2012"
"12/00616/B","Alterations and erection of a porch","Quo Vadis Glen Chass Road Glen Chass Port St. Mary Isle Of Man IM9 5PN","Permitted","07-Jun-12","Director Delegation","2012"
"12/00617/B","Erection of three dwellings (amendments to three dwellings approved under PA 11/00684/B)","Plots 1, 2 & 3 Croit Ny Glionney (former Colby Football Club Ground) Glen Road Colby Isle Of Man  ","Permitted","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00618/B","Erection of an extension to dwelling","33 Fairfield Avenue Onchan Isle Of Man IM3 4BG","Permitted","05-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00619/C","Additional use of office space above garage as tourist living accommodation","Fo-Glion Glen Rushen Road Glen Maye Isle Of Man IM5 3BA","Refused","07-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00620/D","Erection of signage","St Andrew's United Reformed Church Glencrutchery Road Douglas Isle Of Man IM2 5HY","Permitted","14-Jun-12","Head of Development Management","2012"
"12/00621/B","Erection of a detached building to provide garden machinery storage and a maintenance area","Ballairgey Abbeylands Isle Of Man IM4 5EE ","Application Withdrawn","22-May-12","Withdrawn","2012"
"12/00622/B","Installation of replacement windows and door to front elevation","7 Raphael Road Douglas Isle Of Man IM1 3EQ","Permitted","05-Jun-12","Senior Planning Officer - South (SC)","2012"
"12/00623/B","Erection of a replacement agricultural building","Field 234076 Peel Road Kirk Michael Isle Of Man  ","Permitted","20-Jun-12","Senior Planning Officer - North (CB)","2012"
"12/00624/B","Alterations and extensions to dwelling (amendment to PA 12/00214/B)","79 Cronk Drean Douglas Isle Of Man IM2 6AS","Permitted","14-Jun-12","Head of Development Management","2012"
