"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"23/00239/B","A purpose built medicinal cannabis production facility and headquarters building for Grow Lab Organics Land To West Of The Rlc Building  Ronaldsway Business Park Ballasalla Isle Of Man IM9 2RY ","MALEW","16 Mar 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00239/B"
"23/00603/B","Replace three rear patio doors and one rear porch door with wood effect UPVC within the existing openings Ballachesed St Marks Ballasalla Isle Of Man IM9 3AH ","MALEW","17 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00603/B"
"23/00513/B","Installation of first floor balcony to the rear of the property The Elms Westmead Glen Vine Isle Of Man IM4 4BB ","MAROWN","11 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00513/B"
"23/00532/B","Erection of a rear dormer window, and installation of rooflights. 6 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT","MICHAEL","12 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00532/B"
"23/00423/B","Remove existing conservatory and replace with a slightly enlarged extension with slate roof Apple Garth Patrick Road St Johns Isle Of Man IM4 3BN","PATRICK","12 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00423/B"
"23/00531/B","Alterations to existing store room to form shower room Brottby Peveril Road Peel Isle Of Man IM5 1PJ","PEEL","11 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00531/B"
"23/00626/B","Installation of replacement door and windows 9A Stanley Road Peel Isle Of Man IM5 1NX","PEEL","16 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00626/B"
"23/00521/C","Change of use of the former garage to a 1000L commercial micro-brewery and taproom/events space for licensed events Former Commissioners Depot Droghadfayle Road Port Erin Isle Of Man  ","PORT ERIN","16 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00521/C"
"23/00539/B","Erection of a single detached dwelling with associated car parking Land At Ballahane House Erin Rise Port Erin Isle Of Man IM9 6FF ","PORT ERIN","11 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00539/B"
"23/00529/B","Removal of existing conservatory to kitchen. Erection of a replacement solid utility room and garage. Extension of existing flat roof to cover, erection of replacement porch extension. Installation of replacement vehicle access to driveway (maintaining neighbour\'s right of way to pedestrian access). Pier House Stanley Mount East Ramsey Isle Of Man IM8 1NP","RAMSEY","11 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00529/B"
"23/00581/B","Erection of a sunroom to the rear of the property and extension of the rear patio area 88 Royal Park Ramsey Isle Of Man IM8 3UH ","RAMSEY","17 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00581/B"
"23/00568/B","Erection of ground floor extensions and first floor extension to dwelling 29 Ballanoa Meadow Santon Isle Of Man IM4 1HQ","SANTON","17 May 2023","2023-05-19","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00568/B"
"23/00485/B","Erection of rear replacement single storey extension, installation of dormer extension to the rear and roof windows to existing living roof space at front elevation. 2 Larivane Cottage Kiondroghad Road Andreas Isle Of Man IM7 3EL","ANDREAS","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00485/B"
"23/00545/B","Proposed single storey extension to rear of school to create new Female pupil toilets and conversion of existing pupil toilets into Disabled WC/Shower & Store, including associated wheelchair access ramp & external steps Andreas School Andreas Village Isle Of Man IM7 4EZ ","ANDREAS","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00545/B"
"23/00559/B","Proposed alterations to provide sliding patio door and ramp into building, on front elevation 20 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX","BRADDAN","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00559/B"
"23/00495/B","Replacement of all windows front and back 39 Mill Street Castletown Isle Of Man IM9 1AG","CASTLETOWN","5 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00495/B"
"23/00556/B","Erection of a mobile classroom, containing two classrooms and toilet facilities Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE","CASTLETOWN","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00556/B"
"23/00438/B","Erection of fence to front and side elevation (retrospective) 33 Marathon Avenue Douglas Isle Of Man IM2 4JB","DOUGLAS","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00438/B"
"23/00489/B","Installation of replacement PVC sash windows to ground floor front windows. Laurel Dene Tennis Road Douglas Isle Of Man IM2 3LW","DOUGLAS","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00489/B"
"23/00493/B","Conversion of the upper floors into six apartments 38 - 40 Victoria Street Douglas Isle Of Man IM1 2LB ","DOUGLAS","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00493/B"
"23/00525/B","Replacement of existing casement windows with sash windows in line with the approved PA 22/01130/B Derby Lodge 77 Derby Square Douglas Isle Of Man IM1 3LR ","DOUGLAS","4 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00525/B"
"23/00526/B","Demolition of former nursing home and outbuildings, and the creation of five new 4 bedroom dwellings with associated garages, parking, amended access, amended drainage, and landscaping Former Eastfield Mansion House  Eastfield Douglas IM1 4AU ","DOUGLAS","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00526/B"
"23/00527/CON","Registered Building consent for demolition elements to PA 23/00526/B Former Eastfield Mansion House  Eastfield Douglas IM1 4AU ","DOUGLAS","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00527/CON"
"23/00554/B","Replacement of existing mobile classroom with new mobile classroom containing two classrooms and toilet facilities Willaston Primary School School Road Douglas Isle Of Man IM2 6RD","DOUGLAS","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00554/B"
"23/00555/B","Replace existing window to Classroom with new Fire Escape Door Manor Park School Pulrose Road Douglas Isle Of Man IM2 1AT","DOUGLAS","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00555/B"
"23/00496/B","Erection of replacement dwelling Cooil Ny Cronk Ballure Ramsey Isle Of Man IM7 1AD ","GARFF","4 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00496/B"
"23/00540/B","Replace existing front door 13 Dumbells Terrace Laxey Isle Of Man IM4 7NY","GARFF","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00540/B"
"23/00503/B","Improve existing field access to comply with Manual for Manx Roads Field 432515 Douglas Road Ballasalla Isle Of Man  ","MALEW","5 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00503/B"
"23/00491/B","Erection of single storey extension to side and rear elevations 5 Kirkway Onchan Isle Of Man IM3 1BH ","ONCHAN","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00491/B"
"23/00515/B","Replacement of existing detached garden room and garden store 21 Manor Park Onchan Isle Of Man IM3 2EW ","ONCHAN","5 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00515/B"
"23/00534/B","Smooth render to front elevation, gable end and rear elevation 13 Central Drive Onchan Isle Of Man IM3 1ES","ONCHAN","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00534/B"
"23/00535/B","Replacement of existing conservatory with new larger extension and replacement window to front elevation Richmond House 13 Manor Park Onchan Isle Of Man IM3 2EW ","ONCHAN","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00535/B"
"23/00536/B","Erection of a dormer to the south west elevation and installation of a pvc window in the gable 2 Hague Walk Onchan Isle Of Man IM3 1NG","ONCHAN","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00536/B"
"23/00418/B","Demolish existing porch and create new porch to the same finish as existing Lhoobs Cottage Lhoobs Road Eairy Isle Of Man IM4 3JA","PATRICK","5 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00418/B"
"23/00501/B","Erection of a single storey extension to the south elevation Riversdale Foxdale Road St Johns Isle Of Man IM4 3AS","PATRICK","4 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00501/B"
"23/00514/B","Alterations and extensions to create additional living accommodation to ground floor and new first floor accommodation 29 West View Peel Isle Of Man IM5 1DL","PEEL","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00514/B"
"23/00523/B","Retrospective application for replacement windows & door to front elevation and replacement door to rear elevation 5 Charles Street Peel Isle Of Man IM5 1AF","PEEL","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00523/B"
"23/00524/CON","Retrospective application for replacement windows & doors in connection with PA 23/00523/B 5 Charles Street Peel Isle Of Man IM5 1AF","PEEL","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00524/CON"
"23/00567/B","Installation of replacement front door, rear bathroom patio doors, two first floor bedroom windows and a second floor escape window (retrospective) 10 Stanley Road Peel Isle Of Man IM5 1NX","PEEL","5 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00567/B"
"23/00490/B","Alterations, replacement rear extensions and front Porch and raising of the existing roof to provide additional/improved living accommodation to dwelling The Auburns 19 Lezayre Road Ramsey Isle Of Man IM8 2LP ","RAMSEY","5 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00490/B"
"23/00558/B","Proposed window/door alterations to rear elevation of dwelling 6 The Sycamores Ramsey Isle Of Man IM8 1LU ","RAMSEY","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00558/B"
"23/00512/B","Erection of a detached dwelling with associated parking Vacant Plot Adjacent To Mussoorie  Main Road Santon IM4 1JB","SANTON","10 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00512/B"
"23/00517/B","Erection of a detached dwelling with parking and access to be formed from the existing field access gate Field 514355 And Part Field 510185 Rheast Road Santon Isle Of Man  ","SANTON","9 May 2023","2023-05-12","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00517/B"
"23/00434/B","Demolition of an existing PVC Conservatory and erection of a new sunroom in its existing location, creation of hand landscaping with a continuation of garden walls paved areas, and steps Ballacomaish Kiondroghad Road Andreas Isle Of Man IM7 3EJ","ANDREAS","2 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00434/B"
"23/00487/B","Erection of a garage within the front garden 2 Cooil Veg Andreas Isle Of Man IM7 4EU","ANDREAS","27 Apr 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00487/B"
"23/00553/B","Erection of rear extension 11 Croit Ny Kenzie Andreas Isle Of Man IM7 4FA ","ANDREAS","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00553/B"
"23/00549/C","Change of use from Class 2.2 Light Industrial to Class 2.4 Storage or Distribution with office accommodation (retrospective) Unit 7 & 8 Cronkbourne Business Park Ballafletcher Farm Road Braddan Douglas Isle Of Man IM4 4QE ","BRADDAN","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00549/C"
"23/00551/B","Erection of garage extension Grand View Bride Road Bride Isle Of Man IM7 4AD ","BRIDE","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00551/B"
"23/00484/B","Alterations and erection of new dwelling within the grounds of ""Rosecroft"" Rosecroft Shore Road Castletown Isle Of Man IM9 1BF","CASTLETOWN","2 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00484/B"
"23/00492/B","Like for like replacement of the existing aluminium windows 11 - 13 Hill Street Douglas Isle Of Man IM1 1EF","DOUGLAS","2 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00492/B"
"23/00548/B","Installation of replacement windows to front and rear elevations and replacement rear door 7 Roslyn Terrace Douglas Isle Of Man IM2 5DE","DOUGLAS","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00548/B"
"23/00500/B","Variation of Condition 3 of PA 21/00576/B erection of a replacement dwelling with integral garage Waverley Quarry Road Laxey Isle Of Man IM4 7DU","GARFF","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00500/B"
"23/00510/B","Erection of open sided timber pavilion Elfin Glen And Claghbane Woods Mountain Road Ramsey Isle Of Man  ","GARFF","26 Apr 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00510/B"
"22/01540/B","Creation of new vehicular access to northern end of Field 134001 Field 134001 Bride Road Ramsey Isle Of Man  ","LEZAYRE","4 Jan 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/01540/B"
"23/00502/B","Ground floor window alterations with removal of porch Lower Glentramman Farm Garey Road Garey Ramsey Isle Of Man IM7 2AP ","LEZAYRE","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00502/B"
"22/01207/B","Erection of a steel framed equestrian stable Field 434968 Grenaby Road Ballasalla Isle Of Man IM9 3DP ","MALEW","13 Oct 2022","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/01207/B"
"23/00335/A","Approval in principle for the erection of a four-bedroom bungalow and hardstand for garage/car port addressing siting, drainage and means of access Field 431163 Ballamodha Straight Ballasalla Isle Of Man IM9 3EL ","MALEW","6 Apr 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00335/A"
"23/00481/B","Erection of replacement single storey side extension Greensleeves Douglas Road Kirk Michael Isle Of Man IM6 1AT","MICHAEL","2 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00481/B"
"23/00552/B","Installation of upvc cladding to part of South facing gable wall 4 Market Place East Ramsey Isle Of Man IM8 1JY","RAMSEY","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00552/B"
"23/00543/B","Erection of an animal field shelter Field 414502 Sloc Road Earystane Colby Isle Of Man  ","RUSHEN","2 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00543/B"
"23/00547/B","Erection of rear first floor bathroom extension and replace existing double roman concrete roof tiles with plain concrete roof tiles Lindisfarne The Level Colby Isle Of Man IM9 4AL","RUSHEN","3 May 2023","2023-05-05","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00547/B"
"23/00483/B","Alterations to study window and construction of single storey extension on north-east gable wall Claremont Old Castletown Road Port Soderick Isle Of Man IM4 1BB ","BRADDAN","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00483/B"
"23/00498/B","Erection of showroom Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF ","BRADDAN","24 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00498/B"
"23/00468/B","Construct a tennis court in the garden North West side of the house; Construct a soakaway in the south garden Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ","CASTLETOWN","24 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00468/B"
"23/00291/B","The development proposes the construction of 133 new dwellings split across apartments, townhouses, small blocks of flats and a senior living block. In addition, a new scout hut/community pavilion, refurbishment and extension of Crookall House as office space, replacement existing sub-station and associated external landscaping, highways and drainage works. Crookall House (+ Surrounding Site) Demesne Road Douglas Isle Of Man IM1 3DX","DOUGLAS","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00291/B"
"23/00427/C","Change of use from ground floor office to residential 20 Hope Street Douglas Isle Of Man IM1 1AP","DOUGLAS","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00427/C"
"23/00449/B","Variation of condition 2 of planning permission PA 15/00323/B which was to increase the number of children from 12 to 18 and we would like to increase the provision from 18 to 24 Crossroads Nursery  Masham Court Victoria Avenue Douglas Isle Of Man IM2 4AW","DOUGLAS","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00449/B"
"23/00457/B","Erection of single storey rear extension at lower ground floor, and installation of dormer to second floor 2 Lower Dukes Road Douglas Isle Of Man IM2 4BJ","DOUGLAS","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00457/B"
"23/00464/B","Subdivision of existing single flat to 2 no. flats including erection of rear access staircase and replacement rear extension. Installation of replacement windows and resiting of shopfront door 8 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ","DOUGLAS","19 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00464/B"
"23/00477/CON","Remove redundant flue stack from the rear elevation. Remove semi derelict outbuildings to the rear to form access and parking areas. This application is in connection with PA 23/00464/B 8 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ","DOUGLAS","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00477/CON"
"23/00459/B","Alterations and extensions to existing dwelling, including the removal of a two storey extension and single storey garage Crofton Baldhoon Road Laxey Isle Of Man IM4 7NA","GARFF","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00459/B"
"23/00506/B","Erection of replacement rear extension Thie Gamman Beg The Crescent Baldrine Isle Of Man IM4 6DY","GARFF","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00506/B"
"23/00453/B","Creation of hardstanding (Retrospective) and erection of agricultural storage building Field 211069 North Of Sandygate Crossroads Jurby Road Sandygate Ramsey Isle Of Man  ","JURBY","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00453/B"
"23/00451/B","Erection of 13 terraced & semi-detached dwellings on the site of 9 previously approved detached & semi-detached dwellings on no.s 19 to 23 & 30 to 33 Faragher Road, and amendments to rear plot boundaries and adjacent footpath, bin collection point & parking spaces for no.s 40 & 41 Faragher Road  19 To 23 & 30 To 33 And 40 & 41 Faragher Road  Phase 2 Reayrt Mie Ballasalla IM9 2BL  ","MALEW","20 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00451/B"
"23/00462/B","Alterations to layout of footpaths, car parking area and plot boundaries Land Adjacent To Plots C74-C75 Crellin Close & C87-C91 Shimmin Road Reayrt Mie Phase 3 Ballasalla Isle Of Man IM9 2BR ","MALEW","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00462/B"
"23/00171/B","Erection of agricultural building Section 1 Field 321821 Ballanicholas Garth Crosby Isle Of Man  ","MAROWN","27 Mar 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00171/B"
"23/00394/B","Retrospective approval for the installation of glass balustrade to flat roof area for the purposes of maintenance and repair only and additional car parking Retail Unit  Crosby Meadows Main Road Crosby IM4 2EE ","MAROWN","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00394/B"
"23/00509/B","Removal of existing greenhouses and erection of detached dormer bungalow with integral garage Land North Of Ballagarey Bungalow Main Road Glen Vine Isle Of Man IM4 4AZ ","MAROWN","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00509/B"
"23/00455/B","Alterations and extensions of garden walls Ocean View Baltic Road Kirk Michael Isle Of Man IM6 1EF ","MICHAEL","20 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00455/B"
"23/00361/B","Alterations including single storey extension to east elevation, enlargement of first floor dormer to south elevation and erection fencing to east boundary 27 Groudle Road Onchan Isle Of Man IM3 2EH","ONCHAN","5 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00361/B"
"23/00497/B","Erection of first floor annex extension 36 Royal Avenue Onchan Isle Of Man IM3 1EZ","ONCHAN","24 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00497/B"
"23/00504/B","Erection of building for use as a toilet facility and storage, sales of charcuterie produced on site and the creation of a unit for the preparation of charcuterie from meat from the site Ballacosnahan Farm Patrick Road Patrick Village Isle Of Man IM5 3AW ","PATRICK","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00504/B"
"23/00437/B","Extension of dropped kerb to widen existing vehicular access 20 Close Corlett Peel Isle Of Man IM5 1QH ","PEEL","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00437/B"
"23/00401/B","Erection of ground floor extension to rear and creation of off road parking apron Thornycroft 8 Primrose Terrace Port St Mary Isle Of Man IM9 5AP ","PORT ST MARY","20 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00401/B"
"23/00470/B","Erection of a dwelling with integrated garage, PV panels and heatpump 9 Perwick Road Port St. Mary Isle Of Man IM9 5PA ","PORT ST MARY","18 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00470/B"
"23/00421/B","Conversion from commercial to residential 3 Collins Lane Ramsey Isle Of Man IM8 1AL","RAMSEY","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00421/B"
"23/00465/B","Erection of a dwelling and detached garage Plot 6 The Greens Fairfield Avenue Ramsey Isle Of Man  ","RAMSEY","24 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00465/B"
"23/00444/B","Renovate redundant barn into a residential property Barn  Glendown Farm  Howe Road Port St Mary Isle Of Man IM9 5PR ","RUSHEN","26 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00444/B"
"23/00461/B","Alterations and Extension Ballatroorane Beg Main Road Santon Isle Of Man IM4 1EP","SANTON","25 Apr 2023","2023-04-28","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00461/B"
"23/00436/B","Installation of two windows within the gable of the southern side elevation of dwelling Mayfield House Smeale Ramsey Isle Of Man IM7 3EB ","ANDREAS","17 Apr 2023","2023-04-21","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00436/B"
"23/00452/B","Removal of conservatory, construction of extension, roof terrace, external staircase and enclosure of existing open front porch Alpine House Main Road Ballaugh Isle Of Man IM7 5EX","BALLAUGH","19 Apr 2023","2023-04-21","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00452/B"
"23/00428/B","Install six exterior lights to illuminate the building with the ability to change the colours of the lights for specific events; in general, the lighting will be green in colour Greenhill Data Centre Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ","BRADDAN","17 Apr 2023","2023-04-21","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00428/B"
"22/01123/B","Variation of condition 3 of PA 08/02339/B to use ancillary accommodation as a dwelling (class 3.3) (Retrospective) 13 Harcroft Avenue Douglas Isle Of Man IM2 1PF","DOUGLAS","6 Sep 2022","2023-04-21","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/01123/B"
"23/00429/B","Erection of detached garage and expansion of driveway Langdale House Lower Dukes Road Douglas Isle Of Man IM2 4BQ","DOUGLAS","17 Apr 2023","2023-04-21","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00429/B"
"23/00447/B","Installation of replacement uPVC windows (Retrospective) Flat 3  8 Christian Road Douglas Isle Of Man IM1 2QN","DOUGLAS","13 Apr 2023","2023-04-21","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00447/B"
