"Name","Town"
"Perwick Bay","Port St Mary"
"Perwick Bay Estate","Port St Mary"
"Perwick Bay Road","Port St Mary"
"Perwick House","Port St Mary"
"Perwick Rise","Port St Mary"
"Perwick Road","Port St Mary"
"Peter's Field","Ballakilpheric"
"Peveril Avenue","Peel"
"Peveril Buildings","Douglas"
"Peveril Road","Peel"
"Peveril Street","Douglas"
"Peveril Terrace","Douglas"
"Peveril Terrace","Peel"
"Phildraw Road","Ballasalla"
"Phildraw Road","Malew"
"Picadilly Court","Douglas"
"Piccadily Court","Douglas"
"Pickard Close","Castletown"
"Pine Grove","Ballasalla"
"Pine Hill","Douglas"
"Pinehurst Avenue","Douglas"
"Pinehurst Close","Braddan"
"Pinehurst Close","Douglas"
"Pinehurst Glen","Braddan"
"Pinehurst Glen","Douglas"
"Pinfold Hill","Bride"
"Pinfold Hill","Laxey"
"Pinfold Hill","Lonan"
"Pinfold Lane","Lonan"
"Plantation Road","Port St Mary"
"Plots Of Land","Peel"
"Plots Of Land","Rushen"
"Poildhooie","Ramsey"
"Point Apartments","Port St Mary"
"Point Of Ayre","Bride"
"Polly Road","Jurby"
"Pond Road","Andreas"
"Ponyfields","Port Erin"
"Pooil Vaaish","Arbory"
"Pooildhooie","Ramsey"
"Pooildhooie Road","Ramsey"
"Pooilvaaish Road","Arbory"
"Pooilvaish","Arbory"
"Poortown","Peel"
"Poortown Road","German"
"Poortown Road","Peel"
"Poortown Road","St Johns"
"Poortown Road Estate","Peel"
"Poplar Close","Onchan"
"Poplar Close","Peel"
"Poplar Road","Douglas"
"Poplar Terrace","Douglas"
"Port Cornaa","Maughold"
"Port Cornaa Road","Maughold"
"Port E Chee","Douglas"
"Port E Chee  Avenue","Douglas"
"Port E Chee Avenue","Douglas"
"Port E Vullen","Maughold"
"Port Erin","Rushen"
"Port Grenaugh","Santon"
"Port Jack","Onchan"
"Port Lewaigue","Maughold"
"Port Lewaigue Close","Maughold"
"Port Lewaigue Close","Port Lewaigue"
"Port Mooar","Maughold"
"Port Soderick","Braddan"
"Port Soderick Glen","Braddan"
"Port Soderick Glen","Port Soderick"
"Port St Mary","Rushen"
"Port Way","Ballasalla"
"Port- E- Chee Avenue","Douglas"
"Port-E-Chee Avenue","Douglas"
"Port-E-Vullen","Maughold"
"Portside","Ballasalla"
"Postal Locality","Lower Foxdale"
"Poulsom Avenue","Castletown"
"Pound Road","Santon"
"Poyll Dooey Road","Ramsey"
"Premier Road","Ramsey"
"Pretoria Terrace","St Johns"
"Primrose Avenue","Douglas"
"Primrose Cottage","Patrick"
"Primrose Lane","Peel"
"Primrose Terrace","Port St Mary"
"Prince Of Wales Court","Ramsey"
"Princes Avenue","Douglas"
"Princes Road","Douglas"
"Princes Road","Ramsey"
"Princes Street","Douglas"
"Princes Street Lane","Douglas"
"Princes Terrace","Laxey"
"Princess Street","Douglas"
"Princess Towers","Port Erin"
"Promenade","Port Erin"
"Promenade And Maine Road","Port Erin"
"Promenande","Port Erin"
"Prospect Hill","Douglas"
"Prospect House Apartments","Douglas"
"Prospect Terrace","Douglas"
"Pulrose","Douglas"
"Pulrose Estate","Douglas"
"Pulrose Road","Douglas"
"Pump Street","Colby"
"Quakers Road","Maughold"
"Quakers Road","Ramsey"
"Qualtrough's Lane","Port Erin"
"Qualtroughs Lane","Ballafesson"
"Qualtroughs Lane","Port Erin"
"Quarry Lane","Peel"
"Quarry Road","Laxey"
"Quarterbridge Road","Douglas"
"Quaterbridge Road","Douglas"
"Quay Lane","Castletown"
"Quay West Apartments","Douglas"
"Quayle Close","Ballasalla"
"Quayle Cottages","Ramsey"
"Quayles Cottages","Ramsey"
"Queen Drive East","Ramsey"
"Queen Margaret Road","Glen Vine"
"Queen Margaret Road","Marown"
"Queen Margaret Way","Glen Vine"
"Queen Margaret Way","Marown"
"Queen Street","Castletown"
"Queen Street","Douglas"
"Queen Street","Peel"
"Queen's Terrace","Douglas"
"Queens Avenue","Douglas"
"Queens Court","Port St Mary"
"Queens Court","Ramsey"
"Queens Drive","Peel"
"Queens Drive","Ramsey"
"Queens Drive East","Ramsey"
"Queens Drive West","Ramsey"
"Queens Grove","Ramsey"
"Queens Pier Road","Ramsey"
"Queens Promenade","Douglas"
"Queens Promenade","Ramsey"
"Queens Road","Onchan"
"Queens Road","Port St Mary"
"Queens Terrace","Douglas"
"Queens Terrace","Laxey"
"Queens Terrace","Lonan"
"Queens Valley","Ramsey"
"Queens Valley Estate","Ramsey"
"Quines Hill","Braddan"
"Quines Hill","Port Soderick"
"Raad Bridjeen","Peel"
"Raad Kirree Varrey","Peel"
"Raad Ny Gabbil","Castletown"
"Raad Roagan","Peel"
"Raad-Ny-Gabbil","Castletown"
"Radcliffe Close","Port Erin"
"Radcliffe Close","Rushen"
"Railway Shops","Douglas"
"Railway Terrace","Douglas"
"Railway Terrace","Malew"
"Rambler Cottage","Kirk Michael"
"Ramsey","Laxey"
"Ramsey Coast Road","Maughold"
"Ramsey Golf Club","Ramsey"
"Ramsey Golf Course","Ramsey"
"Ramsey Road","German"
"Ramsey Road","Knocksharry"
"Ramsey Road","Laxey"
"Ramsey Road","Lonan"
"Ramsey Road","Lynague"
"Ramsey Road","Peel"
"Ramsey Town Commissioners","Ramsey"
"Raphael Road","Douglas"
"Ratcliffe Close","Port Erin"
"Raven's Wharf","Douglas"
"Ravens Wharf","Douglas"
"Ravenscliffe","Laxey"
"Ravenscliffe Mews","Douglas"
"Rear Lane Off Queen's Pier Road","Ramsey"
"Rear Maranatha","Ballasalla"
"Rear Parr Street","Douglas"
"Rear Parr Street Lane","Douglas"
"Rear Victoria Road","Castletown"
"Reatry Mie Estate","Malew"
"Reatry Ny Glionney Drive","Lonan"
"Reayrt Carnane","Douglas"
"Reayrt Lhean","Castletown"
"Reayrt Ny Cashtal","Castletown"
"Reayrt Ny Crink","Crosby"
"Reayrt Ny Crink","Marown"
"Reayrt Ny Crink Apartments","Marown"
"Reayrt Ny Cronk","Peel"
"Reayrt Ny Glionney","Colby"
"Reayrt Ny Glionney Chase","Lonan"
"Reayrt Ny Glionney Close","Lonan"
"Reayrt Ny Glionney Drive","Lonan"
"Reayrt Ny Glionney Estate","Lonan"
"Reayrt Ny Keylley","Peel"
"Reayrt Ny Keylley Estate","Peel"
"Reayrt Ny Sleityn","Ramsey"
"Reayrt Y Sheear","Douglas"
"Reayrt-Ny-Sleityn","Ramsey"
"Rectory Cottages","Andreas"
"Rectory Cottages","Andreas Village"
"Rectory Court","Ramsey"
"Red Gap","Castletown"
"Regaby","Andreas"
"Regaby Road West","Andreas"
"Regaby West Road","Andreas"
"Regent Street","Douglas"
"Reginald Close","Douglas"
"Reginald Mews","Douglas"
"Rencell Hill","Laxey"
"Rhearyt Lhean","Castletown"
"Rheast Bridson","Peel"
"Rheast Lane","Peel"
"Rheast Moar Close","Ramsey"
"Rheast Mooar Avenue","Ramsey"
"Rheast Mooar Close","Ramsey"
"Rheast Mooar Lane","Ramsey"
"Rheast Road","Santon"
"Rhenab Road","Cornaa"
"Rhenab Road","Maughold"
"Rhenab Road","Ramsey"
"Rhenass","German"
"Rhenass Road","Cronk-Y-Voddy"
"Rhenass Road","German"
"Rhencullen","Kirk Michael"
"Rhencullen","Michael"
"Rhendhoo Road","Jurby"
"Rhendoo Road","Jurby"
"Rhendoo Road","Jurby East"
"Rhenny Road","Greeba"
"Rhenwyllan Close","Port St Mary"
"Rhowin Road","Maughold"
"Richmond Close","Douglas"
"Richmond Court","Douglas"
"Richmond Grove","Douglas"
"Richmond Grove","Ramsey"
"Richmond Hill","Braddan"
"Richmond Hill","Douglas"
"Richmond Road","Lezayre"
"Richmond Road","Ramsey"
"Richmond Terrace","Crosby"
"Richmond Terrace","Marown"
"Ridgeway Road","Onchan"
"Ridgeway Street","Douglas"
"River Close","Ramsey"
"River Court","Ramsey"
"River Dhoo Court","Douglas"
"River Heights","Douglas"
"River Meadows","Castletown"
"River Vale","Braddan"
"River Vale","Douglas"
"River View","Ramsey"
"River Walk","Braddan"
"Riverbank Road","Lezayre"
"Riverbank Road","Ramsey"
"Rivers Court","Laxey"
"Riverscourt","Laxey"
"Riversdale Cottages","Jurby Road"
"Riverside","Ramsey"
"Riverside Apartments","Douglas"
"Riverside Court","Douglas"
"Road Of The Brushwood","Ballaugh"
"Road Of The Shallow Ford","German"
"Robert Cubbon Close","Douglas"
"Robert Stephen Close","Douglas"
"Robin Lane","Douglas"
"Rochester Court","Douglas"
"Rockmount Road","Peel"
"Rockville","Crosby"
"Rocky Road","Port Erin"
"Romney Wynd","Ramsey"
"Ronague","Arbory"
"Ronague","Castletown"
"Ronague Road","Arbory"
"Ronague Road","Ballabeg"
"Ronague Road","Castletown"
"Ronague Road","Malew"
"Ronague Road","Nr Ballabeg"
"Ronaldsdene","Colby"
"Ronaldsway","Malew"
"Ronaldsway Airport","Malew"
"Ronaldsway Airport Car Park","Ballasalla"
"Ronaldsway Industrial Centre","Ballasalla"
"Ronaldsway Industrial Estate","Ballasalla"
"Ronaldsway Industrial Estate","Malew"
"Rose Villa","Glen Auldyn"
"Rosebank","Douglas"
"Rosebank Court","Douglas"
"Rosedene Avenue","Onchan"
"Rosedene Close","Onchan"
"Rosedene Cottages","Laxey"
"Rosehill","Braddan"
"Rosehill Mews","Braddan"
"Rosehill Mews","Douglas"
"Rosemount","Douglas"
"Roslyn Terrace","Douglas"
"Rowan Avenue","Ballaugh"
"Rowan Avenue","Peel"
"Rowan Road","Hibernia"
"Rowan Road","Maughold"
"Rowan Tree House","Port St Mary"
"Rowan Woods","Mount Murray"
"Rowan Woods","Santon"
"Rowan Woods Estate","Mount Murray"
"Rowany Drive","Port Erin"
"Rowany Villas","Port Erin"
"Royal Avenue","Onchan"
"Royal Avenue West","Onchan"
"Royal Court","Onchan"
"Royal Court","Ramsey"
"Royal Drive","Onchan"
"Royal Park","Ramsey"
"Royal Terrace","Onchan"
"Rue Point","Andreas"
"Rushen Abbey Mills","Malew"
"Sabrew","Sulby"
"Saddle Mews","Douglas"
"Saddle Mews","Groves Road"
"Saddle Road","Douglas"
"Saint Annes Terrace","Santon"
"Saint Marys Road","Port Erin"
"Salisbury Street","Douglas"
"Samual Webb Crescent","Douglas"
"Samuel Webb Cescent","Douglas"
"Samuel Webb Crescent","Douglas"
"Samuel Webb Cresecent","Douglas"
"Sandringham Drive","Onchan"
"Sandygate","Jurby"
"Sandygate","Lezayre"
"Santon","Isle Of Man"
"Santon Terrace","Ramsey"
"Sarah's Glen","Port St Mary"
"Sartfell","Kirk Michael"
"Sartfell And Conrhenny","Kirk Michael"
"Sartfell Road","Douglas"
"Sartfield Road","Jurby"
"Scarlett","Castletown"
"Scarlett Close","Castletown"
"Scarlett Close Estate","Castletown"
"Scarlett Road","Castletown"
"Scholaby Road","Colby"
"School Hill","Laxey"
"School Hill Avenue","Castletown"
"School House Lane","Maughold"
"School House Road","Maughold"
"School Lane","Santon"
"School Masters Cottage","Ballasalla"
"School Masters Lane","Onchan"
"School Road","Onchan"
"Scoill Close","Douglas"
"Scoill Close","Peel"
"Scolaby Road","Colby"
"Scollag Road","Abbeylands"
"Scollag Road","Onchan"
"Scott Close","Onchan"
"Sea Cliff Road","Onchan"
"Sea Cliffe Road","Onchan"
"Sea View Road","Onchan"
"Sea View Site","Port Erin"
"Seacliff Road","Onchan"
"Seacliffe Road","Onchan"
"Seacliffe View","Onchan"
"Seafield Close","Onchan"
"Seafield Crescent","Onchan"
"Seaview Road","Onchan"
"Second Avenue","Douglas"
"Second Avenue","Onchan"
"Sefton Suites","Douglas"
"Selborne Drive","Douglas"
"Selborne Road","Douglas"
"Selbourne Drive","Douglas"
"Shared Lane Associated With","Douglas"
"Shenvalla","Malew"
"Sherwood Terrace","Douglas"
"Shilley Ny Marrey","Port Erin"
"Shimmin Road","Ballasalla"
"Shinhene","Ramsey"
"Shipyard Road","Ramsey"
"Shipyyard Road","Ramsey"
"Shirragh Way","Port Erin"
"Shoprite Supermarket Site","Port Erin"
"Shore Road","Ballaugh"
"Shore Road","Bay Ny Carrickey"
"Shore Road","Castletown"
"Shore Road","Gansey"
"Shore Road","Glen Maye"
"Shore Road","Kirk Michael"
"Shore Road","Laxey"
"Shore Road","Patrick"
"Shore Road","Peel"
"Shore Road","Port Erin"
"Shore Road","Port St Mary"
"Shore Road","Rushen"
"Shore Road And Quayle's Croft","Peel"
"Shore Road Underway","Port St Mary"
"Shore Road/The Underway","Port St Mary"
"Silverburn Crescent","Ballasalla"
"Silverburn Drive","Ballasalla"
"Silverburn Drive","Malew"
"Silverdale Glen","Malew"
"Silverdale Road","Ballasalla"
"Silverdale Road","Malew"
"Simmin Road","Ballasalla"
"Sir George's Bridge","Onchan"
"Sir Georges Bridge","Abbeylands"
"Sir Georges Bridge","Onchan"
"Situate In Springfield Rise","Foxdale"
"Situate Off Approach Road","Ramsey"
"Slegaby","Onchan"
"Slegaby Lane","Onchan"
"Slegaby Ride","Onchan"
"Slieau Curn Park","Kirk Michael"
"Slieau Curn Park","Michael"
"Slieau Dhoo","Douglas"
"Slieau Eairystane","Arbory"
"Slieau Lewaigue","Maughold"
"Slieau Ree Apartments","Union Mills"
"Slieau Rhee","Union Mills"
"Slieau Whallian Estate","Peel"
"Slieau Whallian Park","German"
"Slieau Whallian Park","St Johns"
"Slieau Whallian Road","Patrick"
"Slieau Whallian Road","St Johns"
"Slieauwhallian, Carnegrie And Gleneedle","Patrick"
"Slieu Lewaigue","Maughold"
"Slieu Ree","Union Mills"
"Slieu Ree Apartments","Union Mills"
"Slieu Whallian Park","St Johns"
"Slieuwhallian, Carnegrie And Gleneedle","Patrick"
"Sloc Road","Colby"
"Sloc Road","Rushen"
"Smeale","Andreas"
"Smeale Road","Andreas"
"Snaefell Crescent","Onchan"
"Snaefell Road","Douglas"
"Snaefell Road","Laxey"
"Snaefell Road","Lonan"
"Snaefell View","Jurby"
"Snugborough","Braddan"
"Snugborough Avenue","Union Mills"
"Snugborough Close","Braddan"
"Snugborough Industrial Estate","Braddan"
"Snugborough Trading Estate","Braddan"
"Snugborough Trading Estate","Union Mills"
"Solomon's Corner","Ballamodha"
"Solomons Corner","Malew"
"Somerset Mews","Douglas"
"Somerset Road","Douglas"
"Somerset Square","Douglas"
"Sound Road","Cregneash"
"Sound Road","Glen Maye"
"Sound Road","Patrick"
"South Barrule Avenue","Port Erin"
"South Cape","Laxey"
"South Cape","Lonan"
"South Of The Ballamenagh Road","Jurby"
"South Quay","Douglas"
"South Quay Industrial Estate","Douglas"
"South Tosaby Farm","St Marks"
"South View","Peel"
"Southampton And Ballaveare","Port Soderick"
"Southview","Glen Vine"
"Spaldrick","Port Erin"
"Spaldrick Avenue","Port Erin"
"Spaldrick Promenade","Port Erin"
"Spaldrick View","Port Erin"
"Spinney Close","Douglas"
"Sprinfield Rise","Foxdale"
"Spring Gardens","Douglas"
"Spring Valley","Braddan"
"Spring Valley","Douglas"
"Spring Valley Industrial Estate","Braddan"
"Spring Valley Industrial Estate","Douglas"
"Spring Valley Terrace","Douglas"
"Spring Valley Trading Estate","Braddan"
"Springfield Grange","Douglas"
"Springfield Rise","Foxdale"
"Springfield Rise","Patrick"
"Springfield Terrace","Castletown"
"Springfield Terrace","Foxdale"
"Springfield Terrace","Higher Foxdale"
"Springfield Terrace","Patrick"
"Springham Park","Braddan"
"Springwaters","Malew"
"Sprucewood Close","Foxdale"
"Sprucewood Close","Patrick"
"Sprucewood Rise","Foxdale"
"Sprucewood Rise","Higher Foxdale"
"Sprucewood Rise","Patrick"
"Sprucewood View","Douglas"
"Sprucewood View","Foxdale"
"Sprucewood View","Patrick"
"Squeen Meadow","Ballaugh"
"Squuen Meadow","Ballaugh"
"Sselborne Drive","Douglas"
"St  Johns","German"
"St Annes Terrace","Santon"
"St Catherine's Drive","Douglas"
"St Catherine's Terrace Lane","Onchan"
"St Catherines Close","Douglas"
"St Catherines Drive","Douglas"
"St Catherines Terrace","Onchan"
"St George's Crescent","Port Erin"
"St George's Street","Douglas"
"St George's Terrace","Douglas"
"St Georges Close","Andreas"
"St Georges Crescent","Port Erin"
"St Georges Street","Douglas"
"St Georges Street","Port Erin"
"St Georges Street & Hope Street","Douglas"
"St Georges Terrace","Douglas"
"St Georges Walk","Douglas"
"St Germans Place","Peel"
"St James House","Douglas"
"St Johns","Patrick"
"St Jude's Road","Lezayre"
"St Judes","Andreas"
"St Judes","Andreas And Lezayre"
"St Judes","Lezayre"
"St Judes","Sulby"
"St Judes Road","Andreas"
"St Judes Road","Lezayre"
"St Judes Road","Sulby"
"St Marks","Ballasalla"
"St Marks","Malew"
"St Marks","Santon"
"St Marks Road","Braaid"
"St Marks Road","Marown"
"St Mary Glebe","Port St Mary"
"St Mary's Glebe","Port St Mary"
"St Mary's Meadow","Ballaugh"
"St Mary's Road","Port Erin"
"St Marys Bay Apartments","Port St Mary"
"St Marys Church","Castletown"
"St Marys Glebe","Port St Mary"
"St Marys Meadow","Ballaugh"
"St Marys Road","Port Erin"
"St Nicholas Field","Laxey"
"St Niniand Road","Douglas"
"St Ninians Court","Douglas"
"St Ninians Road","Douglas"
"St Olave's Close","Ramsey"
"St Olaves Close","Ramsey"
"St Patrick's View","Peel"
"St Patricks View","Jurby"
"St Patricks View","Peel"
"St Paul Square","Ramsey"
"St Paul's Apartments","Ramsey"
"St Paul's Mews","Ramsey"
"St Paul's Square","Ramsey"
"St Pauls Apartments","Ramsey"
"St Pauls Mews","Ramsey"
"St Pauls Sauare","Ramsey"
"St Pauls Square","Ramsey"
"St Peter's Lane","Peel"
"St Peters Lane","Peel"
"St Peters's Lane","Peel"
"St Runius Way","Glen Vine"
"St Runius Way","Marown"
"St Sanctain Church And Santon Church Meeting Hall","Santon"
"St Stephen's Meadow","Sulby"
"St Stephens Meadow","Lezayre"
"St Stephens Meadow","Sulby"
"St. Annes Terrace","Santon"
"St. Catherines Drive","Douglas"
"St. Georges Crescent","Port Erin"
"St. Germans Place","Peel"
"St. Johns","German"
"St. Judes","Andreas"
"St. Judes Crossroads","Andreas"
"St. Judes Road","Andreas"
"St. Judes Road","Lezayre"
"St. Judes Road","Sulby"
"St. Marks","Malew"
"St. Marks Road","Ballasalla"
"St. Mary's Glebe","Port St Mary"
"St. Mary's Road","Port Erin"
"St. Marys Avenue","Port St Mary"
"St. Marys Glebe","Port St Mary"
"St. Marys Meadow","Ballaugh"
"St. Ninian's Road","Douglas"
"St. Ninians Court","Douglas"
"St. Patricks Isle","Peel"
"St. Paul's Mews","Ramsey"
"St. Paul's Square","Ramsey"
"St. Pauls Mews","Ramsey"
"St. Pauls Square","Ramsey"
"St. Runius Way","Glen Vine"
"St. Runius Way","Marown"
"St. Stephen's Meadow","Lezayre"
"St.Paul's Square","Ramsey"
"Staarvey Farm","German"
"Staarvey Road","German"
"Staarvey Road","Peel"
"Stanley Drive East","Ramsey"
"Stanley Mews","Douglas"
"Stanley Mount","Douglas"
"Stanley Mount","Peel"
"Stanley Mount","Ramsey"
"Stanley Mount Easr","Ramsey"
"Stanley Mount East","Ramsey"
"Stanley Mount West","Peel"
"Stanley Mount West","Ramsey"
"Stanley Place","Douglas"
"Stanley Road","Peel"
"Stanley Terrace","Douglas"
"Stanley Terrace","Peel"
"Stanley View","Douglas"
"Stanleyterrace","Douglas"
"Starkey Close","Ramsey"
"Station Court","Castletown"
"Station Place","Peel"
"Station Road","Ballasalla"
"Station Road","Ballaugh"
"Station Road","Colby"
"Station Road","Foxdale"
"Station Road","Kirk Michael"
"Station Road","Malew"
"Station Road","Patrick"
"Station Road","Peel"
"Station Road","Port Erin"
"Station Road","Port St Mary"
"Station Road","St Johns"
"Station Road","Upper Foxdale"
"Station Road And The Promenade","Port Erin"
"Station Shops","Douglas"
"Stevenson Court","Douglas"
"Stevenson Court","Farmhill"
"Stevenson Way","Douglas"
"Stockfield Road","Kirk Michael"
"Stonecrop Grove","Douglas"
"Stoney Mountain Back Road","The Eairy"
"Stoney Mountain Road","East Foxdale"
"Stoney Mountain Road","Foxdale"
"Stoney Mountain Road","Malew"
"Stoney Road","Douglas"
"Stoney Road","Laxey"
"Stowell Place","Castletown"
"Strand Court","Ramsey"
"Strand Road","Port Erin"
"Strand Street","Douglas"
"Strand Street","Peel"
"Strang Corner Field","Braddan"
"Strang Crossroads","Braddan"
"Strang Road","Braddan"
"Strang Road","Union Mills"
"Strathallan Crescent","Douglas"
"Strathallan Park","Onchan"
"Strathallan Road","Douglas"
"Strathallan Road","Onchan"
"Strawberry Fields","Colby"
"Strip Of Land, Cowells Terrace","Ramsey"
"Stuggadhoo","Marown"
"Stuggadhoo And The Braaid","Crosby"
"Substation","Douglas"
"Substation Site","Michael"
"Sulbrick","Santon"
"Sulbrick Farm Lane","St Marks"
"Sulby","Lezayre"
"Sulby Bridge","Lezayre"
"Sulby Bridge","Sulby"
"Sulby Bridge To St Judes Highroad","Lezayre"
"Sulby Claddagh","Sulby"
"Sulby Glen","Lezayre"
"Sulby Glen","Michael"
"Sulby Glen","Sulby"
"Sulby Glen Road","Lezayre"
"Sulby Glen Road","Sulby"
"Summer Hill","Douglas"
"Summer Hill Grove","Douglas"
"Summer Hill Place","Douglas"
"Summer Hill Road","Onchan"
"Summerhill","Douglas"
"Summerhill","Onchan"
"Summerhill Grove","Douglas"
"Summerhill Road","Douglas"
"Summerhill Road","Jurby"
"Summerhill Road","Onchan"
"Summerhill To Bretney Road","Jurby"
"Summerland","Ramsey"
"Summerland And Parsonage Road","Ramsey"
"Summerland House","Ramsey"
"Sunhill Cottages","Lonan"
"Sunningdale Drive","Onchan"
"Sunnybank","Braddan"
"Sunnybank Avenue","Onchan"
"Sunnybank Close","Braddan"
"Sunnybank Close","Union Mills"
"Sunnydale Avenue","Port Erin"
"Sunnymeade","Port Soderick"
"Sunnyside Terrace","Laxey"
"Sunset Cottage","Andreas"
"Supermarket Entrance","Ramsey"
"Supermarket Site Off Victoria Road","Douglas"
"Surby","Isle Of Man"
"Surby","Port Erin"
"Surby","Rushen"
"Surby Farm","Surby"
"Surby Mooar","Rushen"
"Surby Road","Port Erin"
"Surby Road","Rushen"
"Surby Road","Surby"
"Surby Road","Surby Moar"
"Swales Terrace","Ramsey"
"Switchback Road","German"
"Switchback Road","Knocksharry"
"Switchback Road","Peel"
"Switzerland Road","Douglas"
"Switzerland Terrace","Douglas"
"Sycamore Close","Onchan"
"Sycamore Grove","Douglas"
"Sycamore Grove Estate","Douglas"
"Sydney Mount","Douglas"
"Sydney Street","Douglas"
"Taubman Street","Ramsey"
"Taubman Terrace","Douglas"
"Teare Close","Peel"
"Teare's Terrace","Ramsey"
"Teares Terrace","Ramsey"
"Telephone Exchange Road","Laxey"
"Temperance Terrace","Ramsey"
"Templar Terrace","Ramsey"
"Tennis Road","Douglas"
"Tent Road","Laxey"
"Terence Avenue","Douglas"
"Thalloo Mitchell And Kione E Hinnin","The Dhoon"
"Thalloo Yn Trooan","German"
"The  Fairway","Onchan"
"The Abbey Woods","Douglas"
"The Abbeywoods","Douglas"
"The Anchorage","Glen Maye"
"The Arches","Douglas"
"The Beach","Laxey"
"The Berrag","Jurby"
"The Bowling Green Land And Premises","Port St Mary"
"The Braaid","Marown"
"The Bungalow","Lezayre"
"The Castleward Green","Douglas"
"The Chase","Colby"
"The Cherry Walk","Douglas"
"The Church View","Braddan"
"The Claddagh","Sulby"
"The Cliffs","Laxey"
"The Colony","Maughold"
"The Colony","Port Lewaigue"
"The Colony Road","Maughold"
"The Corner House","Peel"
"The Corony","Maughold"
"The Cottage","Ballasalla"
"The Courtyard","Castletown"
"The Courtyard","Douglas"
"The Courtyard","Onchan"
"The Craggs","Port St Mary"
"The Craig","St Judes"
"The Creggans","Ballasalla"
"The Crescent","Baldrine"
"The Crescent","Derbyhaven"
"The Crescent","Douglas"
"The Crescent","Lonan"
"The Crescent","Malew"
"The Crescent","Ramsey"
"The Crescent East","Ramsey"
"The Crescent West","Ramsey"
"The Croft","Lezayre"
"The Crofts","Castletown"
"The Crofts","Douglas"
"The Crofts","Glen Vine"
"The Crofts","Marown"
"The Cronk","Andreas"
"The Cronk","Ballaugh"
"The Crossack","Ballasalla"
"The Crossags","Ballasalla"
"The Curragh","Ballaugh"
"The Curraghs","Ballaugh"
"The Darrag","Port Erin"
"The Darragh","Port Erin"
"The Dhoon","Maughold"
"The Dhoor","Lezayre"
"The Dhoor","Ramsey"
"The Dhoor Cottages","Lezayre"
"The Dhowin","Andreas"
"The Dog Mills","Bride"
"The Dollagh","Ballaugh"
"The Dollagh Beg","Ballaugh"
"The Dollough","Ballaugh"
"The Downs","Union Mills"
"The Eairy","East Foxdale"
"The Eairy","Foxdale"
"The Eairy","Marown"
"The Esplanade","Douglas"
"The Estate Of The Vollan","Ramsey"
"The Fairway","Onchan"
"The Falls","Braddan"
"The Falls","Glen Maye"
"The Falls","Patrick"
"The Fountains","Ramsey"
"The Freeport","Ballasalla"
"The Friary","Arbory"
"The Gables","Ramsey"
"The Garey","Lezayre"
"The Garey Road","Lezayre"
"The Glaicke","Ballaugh"
"The Granary","Castletown"
"The Grange","Bride"
"The Greens","Ramsey"
"The Grove","Peel"
"The Hatters Lane","Port St Mary"
"The Headlands","Peel"
"The Heritage Trail","Marown"
"The High Street","Port St Mary"
"The Hollows","Douglas"
"The Hope","Patrick"
"The Hope","St Johns"
"The Howe","Port St Mary"
"The Jallow","Maughold"
"The Kirkway","Onchan"
"The L Fields","Michael"
"The Laurels","Douglas"
"The Level","Colby"
"The Level","Rushen"
"The Lhargan","Port St Mary"
"The Lharghan","Port St Mary"
"The Lhen","Andreas"
"The Lhen","Jurby"
"The Links","Peel"
"The Maples","Douglas"
"The Meadows","Braddan"
"The Meadows","Castletown"
"The Meadows","Douglas"
"The Meadows","Kirk Michael"
"The Mill Race","Lezayre"
"The Mill Race","Sulby"
"The Millennium Way","Lezayre"
"The Millrace","Lezayre"
"The Millrace","Sulby"
"The Nappin","Jurby"
"The Nunnery Domain","Douglas"
"The Old Castletown Road","Braddan"
"The Old Chapel","Jurby East"
"The Old Hall","Ballaugh"
"The Old Hall","Patrick"
"The Old Police Station","Port St Mary"
"The Old Rectory","Bride"
"The Old Smokehouse Yard","Peel"
"The Orchard","Laxey"
"The Paddock","Jurby"
"The Paddocks","Ballasalla"
"The Paddocks","Jurby"
"The Paddocks","Malew"
"The Parade","Castletown"
"The Park","Onchan"
"The Parsonage","Sulby"
"The Point","Port St Mary"
"The Point Apartments","Port St Mary"
"The Promenade","Castletown"
"The Promenade","Derbyhaven"
"The Promenade","Douglas"
"The Promenade","Laxey"
"The Promenade","Peel"
"The Promenade","Port Erin"
"The Promenade","Port St Mary"
"The Quay","Castletown"
"The Quay","Peel"
"The Quay","Port St Mary"
"The Raggart","German"
"The Raggatt","German"
"The Rowans","Laxey"
"The Rule Lane","Lezayre"
"The Shard And Orchard","Bride"
"The Shipyard","Peel"
"The Sloc","Colby"
"The Steadings","Douglas"
"The Sycamores","Ramsey"
"The Sycamores, Clifford Drive","Ramsey"
"The Tanyards","St Marks"
"The Terrace","Derbyhaven"
"The Terrace","Malew"
"The Terrace","Ramsey"
"The Threshold","Jurby"
"The Turrets","Peel"
"The Underway","Port St Mary"
"The Vaaish","German"
"The Vollan","Ramsey"
"The Wadsworth Conservation Area And Arboretum","St Marks"
"The Waterfront","Port St Mary"
"The Waterfront","Ramsey"
"The Wharfside","Peel"
"The Wheel","Laxey"
"The White Cottage","Colby"
"The Whitebridge","Ramsey"
"The Willows","Ballasalla"
"The Willows","Malew"
"The Willows","St Johns"
"The Wind Mill","Castletown"
"Thie Injit","Ballasalla"
"Thie Ny Claghyn","Maughold"
"Thie Ny Garee","Lonan"
"Thie-My-Chree","Laxey"
"Third Avenue","Douglas"
"Third Avenue","Onchan"
